stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,1,3,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,2,39,4,0,1,1,2,0,3,0,0,3,24,0,0,1,0,0
 24-34,0,0,0.82,0,2.46,0,13.13,0,0.82,0,0.82,0,0,0,0,0,0,0,0,10.67,0.82,0,1.64,134.62,1.64,3.28,0,0,4.1,0,0,0,0,0.82,39.4,0,0,1.64,0,0.82
 36-46,0,0,0,0,0.81,0,24.17,0.81,0,0,2.42,0,0,0.81,0,0,0,0.81,0,7.25,0,0,4.03,207.86,1.61,3.22,0.81,0,8.86,0.81,0,0,0,0,50.76,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0.57,54.51,0,0,0.57,4.02,0,0,0,0,0,0,0,0,9.75,0,0,2.3,185.34,0.57,0.57,0.57,0,3.44,0,0,0,0,0,35,0,0.57,0,0,0
 60-70,0,0,1.96,0,2.94,0,104.04,0,1.96,0,15.7,0,0,0,0,0.98,0,0,1.96,13.74,0,0.98,3.93,234.58,0,1.96,0,0,4.91,0,0,0,0,0,34.35,0,0,0,0,1.96
 72-82,0,0,0.98,0,1.96,12.76,72.64,0,0,0,12.76,0.98,0.98,0.98,0,0,0,0,0.98,11.78,0.98,1.96,3.93,177.68,0.98,3.93,1.96,0,4.91,0,0,0.98,0,0,24.54,0,2.94,0.98,0.98,0.98
 84-94,0,0,0,0,6.37,13.81,57.35,0,2.12,0,10.62,4.25,1.06,1.06,1.06,0,0,0,0,19.12,1.06,2.12,1.06,87.09,0,0,2.12,0,12.74,0,0,1.06,0,0,14.87,0,0,1.06,0,1.06
 96-106,0,0,0,0,8.74,18.58,45.9,0,0,0,6.56,3.28,0,0,4.37,0,1.09,0,0,17.49,1.09,1.09,0,84.15,0,0,3.28,0,15.3,0,0,0,0,0,4.37,0,0,3.28,0,0
108-118,0,0,0,0,3.83,3.83,32.94,0,0.77,0,3.06,1.53,0,0,2.3,0,1.53,0.77,0.77,13.79,0.77,0,0.77,90.38,0,1.53,1.53,0,9.19,0,0,0,0,0,4.6,1.53,1.53,1.53,0.77,0.77
120,0,0,1.96,0,3.92,5.88,19.6,1.96,0,0,9.8,3.92,0,0,0,1.96,0,0,0,23.52,0,0,0,70.55,0,0,3.92,0,7.84,0,0,1.96,1.96,0,3.92,0,0,3.92,3.92,0
