stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,2.46,0.82,0,0.82,0,0,0,0,0.82,0,0,0,2.46,0,0,0.82,17.24,0,0,0,0,0,1.64,0.82,0,3.28,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0.81,0.81,0,0.81,0,0.81,0,0,0.81,0,0.81,0,1.61,0,0,0.81,20.14,0,0,0,0,0,2.42,0,0,2.42,0,0,1.61,0,0
 48-58,0,0,0,0,0,3.44,0,0,1.15,0.57,0,0,0,1.15,0,0,0,6.31,0,0,1.72,27.54,0.57,0.57,0.57,0,0,2.87,0,0,4.59,0,0,1.15,0,0.57
 60-70,0,0,0,0.98,0,10.8,0,0,2.94,0.98,0,0.98,0,0,0.98,0.98,0,14.72,0.98,0,1.96,55.95,0,0.98,0,0,0.98,0.98,0,0,7.85,0,0,0.98,0,0
 72-82,0,0,0,1.96,0.98,10.8,0.98,0,0.98,0.98,0,0,1.96,1.96,0.98,0.98,0,6.87,0.98,0.98,0,42.21,0,0.98,1.96,0,0,5.89,3.93,0,0.98,0,0,2.94,0,0
 84-94,0,0,0,5.31,0,8.5,3.19,1.06,2.12,1.06,0,0,2.12,5.31,0,1.06,0,8.5,3.19,2.12,0,16.99,0,0,2.12,0,1.06,10.62,3.19,0,1.06,1.06,0,2.12,0,1.06
 96-106,0,1.09,0,2.19,0,7.65,1.09,1.09,0,1.09,1.09,0,5.46,5.46,1.09,0,1.09,5.46,0,1.09,1.09,13.11,1.09,1.09,1.09,0,0,5.46,1.09,0,0,1.09,1.09,1.09,3.28,0
108-118,0,0.77,0,4.6,0,2.3,0,0,2.3,0.77,0,0,1.53,5.36,0.77,3.06,0,5.36,0.77,0,0,16.85,0,1.53,3.83,0,0,7.66,0,0,2.3,0.77,0,1.53,0,0.77
120,0,0,0,1.96,0,1.96,0,0,1.96,1.96,0,0,1.96,5.88,1.96,0,0,5.88,0,1.96,0,17.64,1.96,1.96,5.88,0,0,7.84,1.96,0,0,0,0,0,0,0
