stage,epidermis,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vasculature
 14-21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0.81,0.81,0,0,0,8.86,0,0,0,1.61,0.81,0,0,0,0,0,0.81,0
 48-58,2.3,0.57,0,0.57,0,9.75,0,0,0,7.46,1.15,0,0,0,0,0,0,0
 60-70,9.82,1.96,0.98,0,0,23.56,0,0,0,5.89,2.94,0,0,0,0,0,0,0
 72-82,4.91,0.98,0,0.98,0,58.9,0,0,2.94,4.91,1.96,0,0,0,0,0,0,0.98
 84-94,24.43,3.19,0,0,1.06,99.83,0,0,1.06,6.37,0,0,0,0,0,0,0,1.06
 96-106,56.83,4.37,0,1.09,2.19,179.23,0,1.09,1.09,7.65,2.19,1.09,0,1.09,2.19,0,0,0
108-118,54.38,0,0.77,0,0,172.34,0.77,0,3.06,12.26,7.66,0,0,0,0.77,0.77,0,0
120,45.08,1.96,0,0,0,94.07,0,1.96,0,3.92,9.8,0,1.96,0,0,0,0,0
