stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,glial,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,21.03,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,31.47,0,18.88,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,5,0,0,1,0
 24-34,0,0,0,0.82,0,1.64,0,0,0,0,0.82,0,0,7.39,0,0,0,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,1.61,0,0,6.45,0,0,0,0,0,0,1.61,0,0,0.81,0
 48-58,0,0,0,0,0,3.44,0.57,0,0,0,4.02,0,0,13.77,0.57,0,0,0,0,0,3.44,0,0,0,0
 60-70,0,0,0,1.96,0,0.98,0,0,0,0,2.94,0,0,9.82,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.94,0,0,0,0,1.96,0,0,6.87,0,0,0,0,0,0,0.98,0,0.98,0.98,0
 84-94,0,0,0,0,0,2.12,2.12,0,1.06,0,3.19,1.06,1.06,2.12,0,0,0,2.12,0,0,2.12,0,0,2.12,1.06
 96-106,0,0,0,0,0,2.19,0,0,0,0,2.19,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,1.53,1.53,0,0,0.77,0.77,0,0.77,4.6,0.77,0,0,0.77,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,5.88,0,0,1.96,0,0,0,0,0,0,0,0
