stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,1,0,0,0,0,1,0,0,8,0,0,0,0,19,0,1,0,1,0,0,33,0,0,0,0,23
 24-34,0.82,4.1,0,10.67,0.82,0,0.82,0,1.64,0,0,1.64,0,0,82.91,0,0,0,2.46,124.77,0,5.75,0.82,1.64,0,0.82,67.31,0,0,0.82,0,131.34
 36-46,0,1.61,0,16.11,0,0,8.06,0,0.81,0.81,0.81,8.06,0.81,0,78.96,6.45,0,0,0.81,187.72,0.81,5.64,0,1.61,0.81,0,57.2,0,0,3.22,0,108.77
 48-58,0,1.72,0.57,32.13,1.15,0,15.49,0,1.15,0,0,27.54,0,0,65.41,9.18,0,0,1.15,200.26,0.57,5.74,0.57,2.3,0,0,33.85,0,0,1.15,0,144.6
 60-70,0,0.98,2.94,88.34,0.98,1.96,51.04,0,1.96,0.98,0,84.41,0,0,43.19,4.91,0,0.98,1.96,293.48,0,7.85,0,0.98,0,0,29.45,0,0,0,0,110.91
 72-82,0.98,6.87,2.94,107.98,0.98,0.98,77.55,0,3.93,0,0.98,89.33,0.98,0.98,46.14,19.63,0,0.98,1.96,409.35,0,7.85,0.98,0.98,0,0,21.6,0,0.98,1.96,0,107.98
 84-94,2.12,5.31,0,71.16,2.12,0,41.42,2.12,3.19,4.25,0,95.58,1.06,0,70.09,8.5,0,0,2.12,221.97,0,2.12,2.12,4.25,0,0,8.5,0,0,0,1.06,75.4
 96-106,2.19,3.28,3.28,85.24,0,0,56.83,0,7.65,0,0,103.82,0,4.37,61.2,14.21,0,1.09,0,207.64,0,7.65,3.28,2.19,1.09,0,9.84,1.09,1.09,1.09,1.09,85.24
108-118,0.77,6.89,3.06,55.92,0.77,4.6,45.19,0.77,1.53,0,0,134.04,0,2.3,76.6,13.79,0,1.53,0.77,301.79,0,3.83,3.06,4.6,0,0,0.77,0.77,0,0.77,0,81.19
120,0,9.8,3.92,45.08,3.92,1.96,50.95,0,5.88,1.96,0,76.43,0,1.96,25.48,9.8,1.96,0,0,368.44,0,5.88,1.96,0,0,0,11.76,0,0,0,0,37.24
