stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,3.15,0,0,0,44.06,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,116,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,1,24,0,0,0,0,1,1,0,0,1,12,0,0,0,0,0
 24-34,0,0,0,0,219.99,0.82,0,8.21,1.64,0,9.03,0,0,2.46,0,0,0,0,2.46,4.93,0,1.64,96.86,0,0.82,0,0,0.82,0,0.82,0.82,0,29.55,0,0,0.82,0,0
 36-46,0,0,0,0,24.98,0,0,15.31,2.42,0,26.59,0,0,6.45,0,0,0,0.81,0.81,0,0,0.81,100.71,0,0,0,0,1.61,0,0,0,0,18.53,0,0,0,0,0
 48-58,0,0,0,0,1.15,0.57,0,25.82,1.15,0.57,37.87,0,0,9.75,0,0,0,0,3.44,0,0,0,64.27,0,0,0,0,0,0,0,0,0,20.08,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,27.48,2.94,0,40.24,0,0,13.74,0,0.98,0,0,8.83,0,0,0.98,56.93,0.98,0,0,0,1.96,0,0,0,0,21.59,0,0,0,0,0.98
 72-82,0,0,0.98,0,2.94,5.89,0,51.05,2.94,1.96,70.68,0,0.98,11.78,0,0,0,0,10.8,0,0,0,56.94,0,0.98,0,0,0,0,0,0,0,20.61,0,0.98,0,2.94,0
 84-94,0,0,0,0,7.43,1.06,0,70.09,2.12,0,55.23,0,0,22.3,0,0,0,0,10.62,0,0,0,30.8,0,0,2.12,0,1.06,1.06,0,0,0,23.36,0,0,0,0,1.06
 96-106,0,0,1.09,0,9.84,1.09,2.19,59.01,1.09,2.19,65.57,0,0,41.53,1.09,0,1.09,0,15.3,1.09,0,0,33.88,1.09,2.19,1.09,0,2.19,0,0,0,0,21.86,1.09,0,2.19,2.19,0
108-118,0,0,0,0.77,8.43,0,0,60.51,2.3,0,54.38,0,0,38.3,0.77,0,0.77,0,16.09,1.53,0,1.53,36.77,0.77,0,0.77,0,0.77,0,0,0,0,19.15,0,0,0.77,1.53,0
120,0,0,0,0,3.92,1.96,0,41.16,3.92,0,56.83,0,0,99.95,0,1.96,0,0,7.84,0,1.96,0,56.83,0,0,1.96,0,5.88,0,0,0,0,17.64,0,0,0,0,0
