stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,0,0,0,47.2,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,1,2,0,13,1,1,0,0,0,75,0,0,0,1,0,0,0,0,8,0,0,1,107,2,12,16,6,0,1,8,83,0,2,283,0,0,0,0
 24-34,0,0.82,0,1.64,0,3.28,0,1.64,0.82,77.98,0,0,0,0,0,4.93,0,0,5.75,0,0,4.1,149.4,0.82,53.36,13.13,0,0,2.46,0,26.27,0,4.1,174.02,0,0,1.64,0
 36-46,0,0,0,2.42,0,12.89,0,0,0.81,96.68,0,0,0,0,0,5.64,0,0,3.22,0,0,4.03,247.34,0,71.7,8.86,0,0,0,0,13.7,0.81,0.81,175.64,0,0,0,0
 48-58,0,0.57,0,1.72,1.15,40.74,0,0,0,151.48,0,0.57,0,0,0.57,8.03,0,0,9.75,0,0,0,177.31,0.57,38.44,8.61,0,0,1.72,0,4.59,0,0,177.31,0,0,1.15,0
 60-70,0,0,0,0,0,32.39,0,0,0.98,175.69,0,0,0,0,0,13.74,0.98,0,9.82,0,0.98,0.98,123.67,0,43.19,8.83,0,0.98,0.98,0,2.94,0,0,68.71,0,0,0.98,0
 72-82,0,2.94,0,1.96,1.96,29.45,0,0,0.98,153.14,6.87,0,0,0,0.98,18.65,0,0,21.6,0.98,0,0.98,55.95,0,71.66,23.56,0,0,0.98,0,1.96,0,0,32.39,0,1.96,0,0
 84-94,0,3.19,1.06,1.06,1.06,20.18,0,0,0,91.34,1.06,0,1.06,1.06,0,22.3,0,2.12,12.74,0,0,0,49.92,0,55.23,28.68,0,0,3.19,0,6.37,0,0,42.48,0,1.06,0,1.06
 96-106,0,1.09,1.09,5.46,1.09,13.11,1.09,1.09,0,51.36,2.19,0,0,1.09,0,24.04,0,0,4.37,0,1.09,0,30.6,0,92.89,20.76,0,0,2.19,0,4.37,0,0,18.58,0,2.19,2.19,1.09
108-118,0,0.77,0.77,0.77,2.3,9.96,0,0,0,28.34,1.53,0,0.77,0,0.77,16.85,0,0,6.13,0.77,1.53,1.53,37.53,0,58.21,19.15,0,0,0,0,3.83,0,0,16.85,0.77,0.77,0.77,0
120,0,0,0,0,3.92,9.8,0,0,1.96,23.52,0,0,0,1.96,0,15.68,1.96,0,9.8,0,0,0,25.48,1.96,17.64,11.76,0,0,1.96,0,7.84,0,0,7.84,0,0,0,0
