stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,3,0,0,0,0,0,2,34,0,0,0
 24-34,0,0,0,0,2.46,0,5.75,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0.82,0,0,0,154.32,0,1.64,2.46,0,0,1.64,0,0.82,0,77.98,0,0,0
 36-46,0,0,0,0,0.81,0,16.11,0,0,0,7.25,0,0,0.81,0,0.81,0.81,0,0,0.81,0,0,0,247.34,0,3.22,4.83,0,0,2.42,0,0,0,74.12,0,1.61,0
 48-58,0,0,0.57,0,0,0,35,0,0,0.57,16.07,0,0,0,0,0,0,0,0.57,1.72,0,0,1.15,283.46,0,4.02,4.02,0,0,4.02,0.57,0.57,0,64.84,0,0,0
 60-70,0,0,0,0,0,0,66.74,0.98,2.94,0,17.67,0,0,0,0,0.98,0.98,0,0,0.98,0.98,0,0,372,0,2.94,6.87,0,0.98,7.85,0,0,0,52.02,0,0,0.98
 72-82,0,0,2.94,0,1.96,0,116.82,0,0.98,0,30.43,1.96,0,0,1.96,0,0.98,0,0,12.76,0,0,2.94,460.4,0,6.87,20.61,0,0,6.87,0.98,0,0,28.47,0,2.94,0
 84-94,0,0,0,0,4.25,1.06,67.97,1.06,0,0,20.18,1.06,0,0,1.06,1.06,0,0,0,9.56,0,0,1.06,227.28,0,3.19,16.99,0,0,39.3,0,0,0,22.3,3.19,1.06,0
 96-106,0,0,6.56,0,4.37,0,62.29,0,0,1.09,14.21,3.28,0,0,0,1.09,2.19,1.09,0,1.09,0,0,1.09,218.57,0,10.93,19.67,0,0,24.04,0,0,0,10.93,4.37,1.09,0
108-118,0,0,1.53,0,3.83,0,49.02,0,0.77,0,24.51,3.83,0,0,0.77,3.06,1.53,0,0,4.6,0,0.77,0,226.73,0.77,4.6,16.85,0,0,22.21,0.77,0,0,7.66,0,0.77,0
120,0,0,0,1.96,3.92,0,64.67,3.92,0,0,33.32,1.96,0,0,1.96,0,0,0,0,5.88,0,0,0,244.97,0,5.88,7.84,0,0,19.6,0,0,0,15.68,1.96,0,1.96
