stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,649.74,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,12.26,0,0,6.13,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,36.8,31.54,13.14,0,0,55.2,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,546.77,42.06,0,0,228.7,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,37.76,0,3.15,66.09,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,516.1,50.35,0,0,195.11,12.59,0,25.18,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,19,0,0,0,0,0,1,1,1,4,5,0,0,1,0,0
 24-34,0,0,0,4.93,0,10.67,0,1.64,0,0,0,0,0,0,4.1,0,0.82,0,2.46,6.57,0,0,3.28,90.29,0.82,0.82,0,0,2.46,0,1.64,0,1.64,42.68,0,0,1.64,0,0.82
 36-46,0,0,0,0.81,0,11.28,0,0,2.42,3.22,0,0,0,0.81,0.81,1.61,0,0,4.03,3.22,0,0,4.03,153.88,0.81,1.61,1.61,0,1.61,0,0,0,0,33.03,0,0,0.81,0,1.61
 48-58,0,0,0,2.3,0,37.3,0.57,0,0,9.18,0,0,0,0,1.15,0,0.57,0,4.02,11.48,0,0.57,0,182.47,0.57,1.15,0,0,0.57,0,1.15,0,0,24.1,0,0,1.15,0,1.72
 60-70,0,0,0,1.96,0.98,48.09,0,0.98,0.98,6.87,0,0,0.98,3.93,0.98,1.96,0,0,0.98,22.58,0,0,0.98,229.68,0,1.96,0.98,0,0,0,0.98,0,0,30.43,0,0,0.98,0,0
 72-82,0,0,0,1.96,0.98,55.95,0,0,0,7.85,0.98,0,0,0,0,1.96,0.98,0.98,0,10.8,0.98,0.98,0,141.36,0,0,1.96,0,0.98,0,0,0,0,11.78,1.96,0,2.94,0,0
 84-94,0,0,0,3.19,0,29.74,0,0,2.12,4.25,0,0,0,2.12,3.19,0,0,2.12,2.12,13.81,0,0,0,56.29,0,1.06,2.12,0,1.06,0,0,0,0,4.25,0,1.06,2.12,1.06,0
 96-106,0,0,0,0,0,13.11,0,0,0,3.28,1.09,0,1.09,0,3.28,0,0,0,1.09,3.28,0,0,0,24.04,0,1.09,1.09,0,0,0,0,0,0,2.19,0,0,1.09,0,0
108-118,0,0,0,0,0,9.96,0,0,0.77,3.83,0.77,0,0,0.77,2.3,1.53,0,0.77,0.77,2.3,0.77,0.77,0,29.11,0,0,1.53,0,0,0,0.77,0,0,0,0,0,2.3,0,0.77
120,0,0,0,3.92,1.96,19.6,0,0,0,7.84,0,0,0,3.92,0,0,0,0,1.96,1.96,0,0,1.96,84.27,0,0,0,0,1.96,0,0,0,0,1.96,0,0,3.92,0,0
