stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,21,0,3,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,4,18,1,0,0,2,0,4,8,0,1,7,5,0,0,1,0,0
 24-34,0,0,0,26.27,0.82,4.93,0,6.57,0,0.82,0.82,0,1.64,1.64,0,2.46,0.82,0,8.21,1.64,0,4.1,45.15,0,8.21,0.82,0,0,18.06,0,0,0.82,0.82,14.78,0,0,7.39,0,0
 36-46,0,0,0,14.5,0,8.86,0,3.22,0.81,0.81,0,0,0,0.81,0,1.61,0,0,4.03,0.81,0,1.61,48.34,0,7.25,0,0.81,0,15.31,0,0.81,0,0,10.47,0,0,1.61,0,0
 48-58,0,0,0,8.03,0.57,22.38,0,2.87,0.57,4.02,0.57,1.15,4.02,0,0,1.15,0,0.57,13.2,1.15,0.57,0.57,63.12,0,4.02,0,0,0,8.61,0,0,0,0,12.62,0,0,1.72,0,1.15
 60-70,0,0,0,19.63,0,29.45,0,8.83,0,4.91,0.98,0,1.96,0,0,0,0,0,6.87,0.98,0.98,0.98,49.08,0.98,1.96,0,0,0,9.82,0,0,0,0,4.91,0,0,0,0,0
 72-82,0,0,0,30.43,2.94,51.05,0,3.93,0.98,11.78,4.91,0.98,0.98,1.96,0,2.94,0,0,27.49,1.96,4.91,5.89,112.89,0,8.83,0,0,0.98,7.85,0,0,0,0,9.82,2.94,0,1.96,0,0.98
 84-94,0,0,0,23.36,0,19.12,0,2.12,2.12,3.19,7.43,0,6.37,0,0,2.12,0,0,14.87,1.06,1.06,0,50.98,0,1.06,3.19,0,0,13.81,0,0,0,0,2.12,3.19,3.19,0,0,0
 96-106,0,0,0,31.69,1.09,15.3,1.09,7.65,0,6.56,6.56,0,1.09,2.19,1.09,2.19,1.09,0,15.3,1.09,1.09,2.19,42.62,0,6.56,2.19,0,1.09,8.74,0,0,0,0,3.28,3.28,0,1.09,1.09,1.09
108-118,0,0,0,18.38,0.77,9.96,0,3.06,0,2.3,3.06,0,2.3,1.53,0,0,1.53,0,6.13,0.77,0,1.53,47.49,0.77,1.53,0.77,0,0,6.89,0,0,0,0,1.53,3.83,0.77,0,0,0
120,0,0,0,35.28,3.92,17.64,0,7.84,0,3.92,3.92,0,5.88,1.96,0,1.96,1.96,0,7.84,0,0,1.96,31.36,0,3.92,0,0,0,19.6,0,0,0,0,0,5.88,0,3.92,0,0
