stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,52.71,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,36.78,208.41,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,57.83,7.89,0,21.03,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,18.88,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,0,3,1,0,0,0,0,0,0,1,16,0,0,0,0,1,2,0,6,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,0.82,0.82,0,0,10.67,0,0,0,1.64,0,0,0.82,4.93,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0.81,0,0,9.67,0,0,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,2.3,0.57,0,0,0,0,1.15,0,0,4.02,0,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0.98,0,3.93,0,0,0,0,0,0.98,0,0,8.83,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,14.72,3.93,0.98,0,0.98,0,2.94,0,0.98,4.91,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,5.31,2.12,0,0,0,0,0,0,0,5.31,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,6.56,0,0,0,0,0,0,1.09,0,3.28,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,9.19,1.53,0,0,0,0,0.77,0,1.53,0.77,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,1.96,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0
