stage,epidermis,eye,fin.mesenchyme,glial,gut,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,0,0,0,8,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,15.6,0,0.82,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,5.16,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,4.91,0,0,0.98,0,0,0,0,0
 72-82,0,2.94,0,0,1.96,25.52,0.98,0,0.98,0,0,0,0,0
 84-94,1.06,0,0,1.06,2.12,52.04,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,3.28,102.73,2.19,0,6.56,0,1.09,0,0,0
108-118,0.77,0.77,0,0,0.77,137.87,1.53,0,3.83,0,0,0,0,0
120,0,3.92,0,0,0,135.23,1.96,0,9.8,0,0,0,1.96,1.96
