stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature
  3-4,52.71,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,12.26,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,55.17,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,10.51,21.03,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,22.03,0,0,0,0,0
 14-21,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,85,1,0,1,0,0
 24-34,0,0,0,0.82,8.21,0,0,1.64,0,0,0.82,0,0,0.82,0,0,0,0.82,1.64,0,0.82,9.85,0,5.75,2.46,0,263.49,0,1.64,0,0,0
 36-46,0,0,0,0,4.03,0,0,0.81,1.61,0,0,0,0,4.03,0,0.81,0,0,0,2.42,0.81,12.09,0,1.61,1.61,0,194.17,0,0,2.42,0,0
 48-58,0,0,0,0.57,5.16,0.57,0,5.74,1.15,1.15,0,0,0.57,0.57,0,2.87,2.3,0,1.72,1.72,0,10.33,0,1.15,1.72,0,158.37,0,1.15,1.15,0,0
 60-70,0,0,0,0,8.83,0,0,5.89,4.91,0,0,0.98,0,1.96,0,2.94,2.94,0,3.93,2.94,0,7.85,0,2.94,0.98,0,146.25,0,0.98,0,0,0
 72-82,0,0,0.98,0,10.8,0,0.98,4.91,1.96,0,0,2.94,1.96,3.93,0.98,3.93,2.94,0,0,0.98,0,5.89,0,1.96,5.89,0,150.19,0,0,0,0,0
 84-94,0,0,1.06,0,27.61,1.06,0,4.25,7.43,0,0,5.31,3.19,14.87,0,2.12,9.56,0,3.19,2.12,0,5.31,0,8.5,5.31,0,355.78,0,5.31,0,1.06,0
 96-106,0,0,0,0,39.34,0,2.19,3.28,4.37,0,1.09,8.74,0,14.21,1.09,3.28,5.46,0,7.65,8.74,2.19,6.56,0,14.21,5.46,0,347.53,0,1.09,0,1.09,0
108-118,0,0,0,0,45.19,0.77,0.77,0.77,6.89,0,2.3,7.66,3.06,16.85,0,2.3,11.49,0.77,1.53,5.36,0,9.19,0,6.89,4.6,0,233.62,0,1.53,0.77,1.53,0.77
120,0,0,1.96,0,39.2,1.96,0,1.96,11.76,0,0,17.64,5.88,9.8,0,1.96,3.92,0,0,5.88,1.96,7.84,0,7.84,11.76,0,205.78,0,1.96,0,1.96,0
