stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,1,0,0,0,0,1,1,0,0,18,0,0,0,0,0
 24-34,0,0,0,0.82,3.28,0,0,6.57,0,0,0,1.64,0,0,2.46,0,0,0,0,1.64,0.82,6.57,0,0,3.28,125.59,4.1,0.82,0.82,0,0,2.46,0,0,0,1.64,32.01,0,0,2.46,0,0.82
 36-46,0,0,0.81,0,1.61,0,0,15.31,0,0,0,4.83,0,0,0.81,0.81,0,0,0,0,0.81,8.86,0.81,0.81,5.64,199.81,0,2.42,0.81,0,0,0.81,0,0.81,0.81,0,38.67,0,0,1.61,0,0
 48-58,0,0,0.57,0,1.15,0.57,0,37.87,1.15,0,0.57,8.03,0,1.15,0.57,0,0,0,0,0,0.57,19.51,0.57,0,1.72,224.36,0,0.57,1.72,0,0,1.15,0,0.57,0,0,57.95,0,0.57,3.44,0,0
 60-70,0,0,0,0,1.96,0,0,72.63,0.98,0,0.98,6.87,0,0,0,0,1.96,0,0,0,0,31.41,0,0,0.98,274.83,0,0.98,1.96,0,0.98,4.91,0,0,0,0,35.33,0,0.98,1.96,0,0.98
 72-82,0,0,1.96,0,4.91,7.85,0.98,71.66,0,0.98,0,24.54,0.98,0.98,0.98,1.96,0,0,0,0,0,53.01,0.98,2.94,0.98,277.81,0,1.96,4.91,0,0.98,1.96,0,0,0,0,23.56,0,2.94,3.93,0.98,0.98
 84-94,0,0,0,0,7.43,6.37,1.06,41.42,1.06,0,1.06,15.93,0,0,1.06,8.5,0,1.06,0,1.06,0,32.92,2.12,1.06,2.12,112.58,0,1.06,4.25,0,1.06,12.74,0,0,0,0,19.12,0,1.06,4.25,0,0
 96-106,0,0,0,0,1.09,6.56,2.19,45.9,0,0,1.09,16.39,3.28,0,0,3.28,1.09,1.09,2.19,0,1.09,32.79,5.46,2.19,2.19,113.66,0,4.37,3.28,0,1.09,6.56,0,0,0,0,8.74,1.09,0,4.37,1.09,2.19
108-118,0,0,0,0,4.6,3.83,13.02,42.89,0,0,0.77,16.09,3.83,0,0,3.06,0.77,0,0,0,0,21.45,1.53,0.77,0,120.26,2.3,0,6.13,0,0.77,5.36,0,0.77,0,0,6.89,0,0,3.06,0.77,0
120,0,0,0,0,11.76,5.88,1.96,27.44,0,1.96,1.96,3.92,3.92,0,0,3.92,0,0,0,0,0,31.36,0,0,1.96,160.7,0,0,3.92,0,0,5.88,0,0,0,0,5.88,0,0,0,0,0
