stage,blastomeres,epidermis,eye,gut,hatching.gland,ionocyte,mesenchyme,mucous,neural,periderm,taste
  5-6,6.13,0,0,0,6.13,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,9.85,1.64,0,0
 36-46,0,0.81,0,0,0,0.81,0,14.5,0.81,0.81,0
 48-58,0,0.57,0.57,0.57,0,1.15,0,24.67,0.57,0.57,0
 60-70,0,0,0,0,0,0.98,0,16.69,1.96,0,0
 72-82,0,0,0,0,0,0.98,0,35.34,4.91,0.98,0
 84-94,0,3.19,3.19,0,0,1.06,0,33.99,0,0,0
 96-106,0,0,0,2.19,0,1.09,1.09,34.97,6.56,0,1.09
108-118,0,0.77,0,2.3,0,1.53,0,29.11,3.06,0,0
120,0,3.92,0,1.96,0,0,0,17.64,0,0,0
