stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,gut,ionocyte,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,44.69,0,0,0,0,0,0,0,0,0,0,10.51,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,173.08,0,0,0,0,0,0,0,0,0,0,135.32,28.32,0,0,37.76,0,0,0,0,0
 14-21,0,2,21,32,6,1,0,0,8,1,1,25,10,14,0,0,1,2,0,5,10,0,0
 24-34,0,0,9.85,13.13,0.82,0.82,0,0,8.21,0,7.39,27.09,4.93,10.67,0,0,0.82,0,0.82,0,4.93,8.21,0
 36-46,0,0,0,4.03,0,0,0.81,0,1.61,0,4.03,6.45,0,3.22,0,0,0,0,0,0,0,2.42,0
 48-58,0,0,0,3.44,0,0,0,1.15,1.72,0,0,1.15,0,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0
