stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,94.41,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,2,2,5,0,0,9,0,0,0,2,0,1,1,0,6,0,0,1,0,1,1,0,0,68,4,0,1,0,0,0,2,1,1,2,26,0,0,0,0,0
 24-34,0,10.67,0.82,2.46,0,0,18.88,0,0,0,4.93,1.64,2.46,0,0,30.37,0,0,0.82,0,9.85,1.64,0,4.93,343.94,0,0,2.46,0,0.82,4.1,0,1.64,0,2.46,127.23,0,0,0,0,0
 36-46,0,6.45,0,3.22,0,0,80.57,0,0,0.81,24.98,0,1.61,0,0,11.28,0,1.61,0,0,24.17,1.61,0,2.42,600.22,0.81,1.61,0.81,0,0,1.61,0,0,0,0,177.25,0,0,0,0,0.81
 48-58,0,6.89,0,7.46,0,0,295.51,0,1.15,1.72,54.51,0.57,0.57,0,0.57,11.48,0,1.15,0,0,33.85,4.02,0,2.3,961.7,0,3.44,2.87,0,0,1.15,0,0.57,0.57,0,193.95,0,0,4.59,0,1.72
 60-70,0,3.93,0,10.8,0,0,556.52,0,0,1.96,98.15,1.96,2.94,0.98,1.96,7.85,0,1.96,0,0.98,50.06,2.94,4.91,4.91,1739.26,0,4.91,4.91,0,0,0.98,0,0.98,0.98,0,225.75,0,1.96,3.93,0.98,0
 72-82,0,15.71,0,14.72,3.93,0,609.61,2.94,0,0.98,220.87,8.83,0.98,0,3.93,28.47,1.96,3.93,0,0.98,98.17,2.94,2.94,0.98,2016.33,0,13.74,12.76,0,0,5.89,0,0,0.98,0,196.33,13.74,9.82,12.76,8.83,2.94
 84-94,0,10.62,0,31.86,3.19,0,411.01,5.31,0,1.06,149.75,5.31,1.06,1.06,1.06,39.3,3.19,5.31,7.43,1.06,81.78,1.06,3.19,5.31,1075.84,1.06,32.92,23.36,0,0,5.31,0,3.19,0,0,117.89,30.8,5.31,8.5,7.43,0
 96-106,0,14.21,0,46.99,5.46,1.09,402.17,1.09,1.09,3.28,196.71,6.56,0,2.19,2.19,33.88,2.19,21.86,6.56,2.19,123.49,1.09,3.28,3.28,1042.58,2.19,46.99,43.71,0,1.09,5.46,0,3.28,2.19,0,71.04,40.44,3.28,4.37,9.84,0
108-118,0,13.02,0,18.38,1.53,0,270.38,2.3,2.3,3.83,192.26,5.36,0,1.53,3.83,23.74,0,9.96,17.62,0.77,101.11,0.77,6.13,6.13,1103.75,3.06,30.64,29.87,0,1.53,7.66,0,3.83,0.77,0,50.55,47.49,3.06,3.06,1.53,0
120,0,13.72,1.96,33.32,0,3.92,286.13,5.88,7.84,5.88,205.78,3.92,0,1.96,5.88,11.76,0,7.84,7.84,0,84.27,1.96,0,3.92,1395.37,0,27.44,17.64,0,0,9.8,0,5.88,1.96,0,62.71,15.68,3.92,5.88,9.8,0
