stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,632.54,8460.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.63,0,0,0,0,0,0,0,0,0,0,0
  5-6,386.17,5075.34,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,134.85,18.39,0,0,55.17,134.85,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,76.23,0,81.49,0,5.26,0,102.52,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,1824.33,34.17,0,0,715.01,5.26,15.77,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,110.14,0,69.23,0,6.29,0,50.35,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,3.15,2372.81,34.62,0,0,1022.77,0,12.59,3.15,239.17,0,18.88,3.15,0,0,0,0,0
 14-21,0,1,0,5,437,128,0,62,0,1,0,51,2,0,5,8,5,1,2,1,3,166,2,0,312,1853,6,32,84,61,38,11,371,27,17,2680,441,0,0,75,0,1
 24-34,0,0,0,3.28,45.97,12.31,0,99.32,2.46,3.28,1.64,34.48,1.64,0,3.28,5.75,12.31,0.82,2.46,1.64,8.21,139.55,0.82,0,194.54,1186.96,0.82,50.07,26.27,0,9.03,0.82,3.28,13.95,5.75,593.48,178.13,0,0,274.17,0,0.82
 36-46,0,0,0,0,13.7,0.81,0,60.43,6.45,1.61,0.81,16.11,0.81,0,7.25,1.61,0,0,0.81,3.22,7.25,116.82,0,2.42,110.38,452.79,0.81,18.53,14.5,0,2.42,0.81,0.81,6.45,3.22,20.14,50.76,0,0,199.81,0,0.81
 48-58,0.57,0,0,0.57,5.16,1.15,0,40.17,7.46,1.72,2.3,35.58,1.15,0,8.03,0.57,1.15,0.57,0.57,2.3,3.44,93.53,0,2.87,176.73,230.67,0,4.59,19.51,0,0.57,0,0.57,0.57,1.72,0.57,25.25,0,0,192.8,0,0
 60-70,0,0,0.98,0,5.89,1.96,0,61.84,19.63,1.96,3.93,44.17,4.91,0,14.72,4.91,1.96,1.96,1.96,1.96,3.93,89.32,0,0,131.52,124.65,0.98,2.94,15.7,0,0.98,0,0,0,2.94,0,17.67,0,0,178.64,0,0.98
 72-82,0,0,0.98,0.98,5.89,4.91,0,122.71,13.74,1.96,3.93,69.7,3.93,0,20.61,24.54,0.98,1.96,1.96,1.96,0.98,159.03,0.98,1.96,189.46,142.34,0,3.93,32.39,0,0.98,0,0,1.96,0.98,0,4.91,1.96,0.98,321.99,0.98,1.96
 84-94,0,0,1.06,1.06,19.12,4.25,1.06,141.25,14.87,0,3.19,59.47,7.43,0,10.62,16.99,2.12,2.12,1.06,3.19,4.25,99.83,0,3.19,203.91,135.94,0,4.25,24.43,0,3.19,0,0,0,0,0,3.19,1.06,2.12,306.93,1.06,1.06
 96-106,0,0,0,0,21.86,9.84,0,116.93,24.04,5.46,1.09,68.85,16.39,0,24.04,37.16,1.09,3.28,0,6.56,4.37,127.86,1.09,3.28,213.11,104.91,2.19,5.46,49.18,0,12.02,0,0,3.28,4.37,0,3.28,5.46,1.09,430.58,4.37,1.09
108-118,0.77,0,0,0,14.55,6.89,3.83,103.41,11.49,4.6,2.3,58.21,20.68,0,13.79,27.57,1.53,0.77,2.3,6.13,7.66,115.66,1.53,0.77,255.07,154.72,0,1.53,39.06,0,2.3,0,0,2.3,2.3,0,1.53,0.77,0.77,305.62,0.77,1.53
120,0,0,0,0,19.6,7.84,0,52.91,21.56,3.92,1.96,54.87,25.48,1.96,21.56,21.56,1.96,1.96,1.96,0,3.92,76.43,0,0,313.57,115.63,1.96,0,23.52,0,7.84,0,1.96,0,0,0,1.96,0,1.96,309.65,0,0
