stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,5,4,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,3,38,2,0,1,0,1,8,0,0,9,19,0,0,2,0,0
 24-34,0,0.82,3.28,0.82,4.93,0,0,0,0.82,0.82,0,0.82,0,0,0,1.64,0,45.15,0.82,0,0.82,154.32,0.82,0.82,0.82,0,1.64,0,0.82,0,0,21.34,0,0,35.3,0,2.46
 36-46,0,0,1.61,0,16.11,0.81,0,0.81,6.45,0,0,0,0,0,0,0,0,161.94,0,0,3.22,252.17,0,1.61,0.81,0,3.22,0,0.81,0,0,20.95,0,0,21.75,0,0
 48-58,0,0,4.59,0,41.31,0,0.57,2.87,7.46,0,0,1.72,0,0,0,0,0.57,306.99,0.57,0.57,6.89,232.39,0,1.72,0,0,1.72,0,0,0.57,0,18.94,0,0,37.3,0,0.57
 60-70,0.98,0,6.87,1.96,35.33,0,0.98,3.93,9.82,0.98,0,0,0.98,0.98,3.93,0,0,440.7,0,0,1.96,214.95,0,0,0.98,0.98,2.94,0,0,0,0,6.87,0,0,31.41,0.98,0.98
 72-82,0,0,28.47,1.96,66.75,0.98,0.98,2.94,8.83,0.98,1.96,4.91,2.94,0,0.98,0,0,612.56,0,1.96,6.87,234.62,0,2.94,0,0,2.94,0,0,0,0,2.94,0,3.93,74.61,0.98,0
 84-94,0,1.06,41.42,0,77.53,0,0,1.06,13.81,0,0,0,6.37,2.12,0,1.06,0,417.38,0,4.25,3.19,131.69,0,2.12,0,0,5.31,0,2.12,0,0,3.19,0,3.19,62.66,2.12,0
 96-106,0,0,38.25,2.19,34.97,0,0,0,13.11,3.28,0,0,2.19,2.19,3.28,0,0,377.03,0,5.46,1.09,107.1,0,1.09,1.09,1.09,0,0,0,0,0,1.09,0,1.09,66.66,2.19,1.09
108-118,0,0,37.53,0.77,19.15,0.77,1.53,0,8.43,1.53,0,0,3.83,1.53,1.53,0,0.77,341.62,0,2.3,3.83,140.94,0,0,2.3,0,5.36,0,0.77,0,0,0.77,2.3,0,66.64,0,0
120,0,0,29.4,1.96,19.6,0,1.96,0,3.92,0,0,0,0,0,0,3.92,0,248.89,0,0,1.96,145.02,0,0,0,0,3.92,0,0,0,0,3.92,1.96,1.96,45.08,0,1.96
