stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,mesenchyme,mucous,neural,olfactory,periderm,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,4.93,0,1.64,3.28,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,6.45,0,1.61,4.83,0.81
 48-58,0,0,0,0.57,0.57,0,0,0,0,0,1.72,0,0.57,0,0
 60-70,0,0,0,5.89,0,0,0,0,0,0,5.89,0,0,1.96,0
 72-82,0,0,0,4.91,0,0,0,0,0,0,3.93,0.98,0,0,0
 84-94,0,0,0,2.12,0,0,0,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,1.09,5.46,0,0,0,1.09,2.19,0,1.09,0,0,0,1.09
108-118,0,0,0,0.77,0,0.77,0.77,0,0,0,2.3,0.77,0,0,0
