stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,40.91,6.29,0,0,28.32,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,53,2,18,0,0,8,3,1,1,1,0,0,1,23,1,0,17,195,4,0,3,5,3,33,3,22,86,6,0,0
 24-34,0,0,0,0.82,4.1,0.82,3.28,0,0,0.82,0,0.82,0,0,0,0,0,6.57,0,0,2.46,70.59,0,4.1,0,0,3.28,0,0,1.64,9.03,2.46,0,0
 36-46,0,0,0,0,0,0.81,5.64,0,1.61,2.42,0,0,0,0,0,0,0,4.83,0,0,1.61,68.48,0,4.03,0,0,5.64,0,0,0,13.7,1.61,0,0
 48-58,0,0,0,0,0.57,0,11.48,0,0,0,0,0,0.57,0,0,0,0,7.46,0,0.57,1.72,63.69,0,1.72,0.57,0,1.72,0,0,0,5.74,0,0,0
 60-70,0,0,0,0,0.98,0,13.74,0,0,1.96,0,0,0,0,0,0,0,4.91,0,0,0.98,88.34,0,0,0,0,0.98,0,0,0,10.8,0.98,0,0
 72-82,0,0,0,0,0.98,0,10.8,0,0,0.98,0,0,0,0,0.98,0,0,9.82,0,0,1.96,43.19,0,0.98,0,0,0.98,0,0,0,4.91,0,0,0
 84-94,0,0,0,0,0,0,3.19,0,0,1.06,0,0,0,0,0,1.06,0,2.12,0,0,0,15.93,0,0,0,0,1.06,0,0,0,1.06,0,0,1.06
 96-106,0,0,0,0,1.09,1.09,9.84,1.09,0,2.19,0,0,1.09,0,0,1.09,0,3.28,0,1.09,0,15.3,0,1.09,0,0,3.28,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0,1.53,0,0,0.77,0,0,0,0,0.77,1.53,0,0.77,0,0,0,15.32,0,0.77,0,0,3.83,0,0,0,0.77,3.06,0,0
120,0,0,0,0,0,0,7.84,0,1.96,1.96,0,0,0,0,0,0,0,3.92,0,0,0,21.56,0,0,0,0,1.96,0,0,0,1.96,0,0,0
