stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1
 24-34,0,0,0,0,1.64,0,0.82,0,0,0,0,4.1,5.75,0,0.82,3.28,0,0,0,0,0,0,0,0,0,0.82,1.64,0,0,0,0
 36-46,0,0,0,0,0.81,0,0.81,0,0,0,0,1.61,26.59,0.81,0,3.22,0.81,0,0,0,0,0,0.81,0,0,0,4.83,0,0,0,0
 48-58,0,0,0,0,4.02,0,0.57,0,0,0,0.57,0,45.33,0,1.15,5.16,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0.57,0
 60-70,0,0,0,0,4.91,0,13.74,0,0,0,1.96,0,33.37,2.94,0,0.98,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,18.65,0,0,0,1.96,0.98,39.27,5.89,0,3.93,0,0,0,0,0,0,0,0,0,0,1.96,0.98,0,0,0.98
 84-94,0,0,0,1.06,9.56,0,11.68,1.06,0,0,3.19,0,49.92,0,0,2.12,0,1.06,0,0,0,0,0,0,2.12,0,0,1.06,0,0,0
 96-106,0,0,0,1.09,9.84,1.09,7.65,0,0,0,2.19,1.09,46.99,5.46,0,5.46,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,14.55,0,9.19,0.77,0,0,7.66,0,42.89,2.3,0,4.6,0,0,0,0,0.77,0.77,0,0,0,0,0.77,0,0.77,0,0
120,0,0,0,0,9.8,0,3.92,0,1.96,1.96,0,0,21.56,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
