stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,28.32,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,7,6,0,3,0,0,0,43,0,5,2,0,0,0,0,0,0,5,0,0,2,48,2,0,1,5,0,1,7,0,28,1,182,0,0,2,0,0
 24-34,0,0,0,9.85,0,0,7.39,0,0.82,0,124.77,0,0,1.64,0,0,0,0,0,0,14.78,0,0,9.85,128.87,3.28,0,1.64,0,0,0,0,0.82,5.75,4.1,266.78,0,0,24.63,0,0.82
 36-46,0,0,0,4.03,0,0,7.25,0,0,0,114.41,0,0,3.22,0,0,0.81,0,0,0,18.53,0.81,0,3.22,119.24,1.61,0.81,0,0,0,0.81,0,0,5.64,0,203.03,0,0,23.36,0,0
 48-58,0.57,0,0,5.74,0,0,16.07,0,2.87,0.57,154.35,0.57,0.57,4.59,1.15,0,1.15,0,0,0,33.28,0,1.72,4.59,103.28,4.59,1.15,0.57,0,0,0.57,0,0,0.57,0,135.99,0,0.57,30.41,0,0
 60-70,0,0,0,15.7,0,0,15.7,0,4.91,0.98,250.29,0.98,0,5.89,0.98,0.98,1.96,0.98,0,0,70.67,0.98,4.91,6.87,87.36,4.91,0,3.93,0,0.98,0,0,0,0.98,0,57.91,0,3.93,24.54,4.91,1.96
 72-82,0,0,0.98,21.6,1.96,0,49.08,1.96,5.89,1.96,399.54,0,0,11.78,2.94,1.96,8.83,0,1.96,0,191.42,1.96,9.82,13.74,114.85,3.93,0,8.83,0,0.98,0,0,0.98,0,0,49.08,0,12.76,61.84,18.65,1.96
 84-94,0,0,0,59.47,0,0,41.42,1.06,18.05,2.12,233.65,1.06,0,1.06,1.06,1.06,6.37,0,0,0,94.52,2.12,10.62,5.31,71.16,16.99,3.19,1.06,0,2.12,1.06,0,2.12,0,0,44.61,0,8.5,62.66,23.36,4.25
 96-106,0,0,0,74.31,1.09,0,45.9,1.09,30.6,1.09,298.35,1.09,0,21.86,1.09,3.28,14.21,3.28,2.19,0,156.28,2.19,8.74,6.56,83.06,7.65,6.56,16.39,0,1.09,2.19,0,1.09,1.09,0,38.25,0,14.21,69.94,46.99,2.19
108-118,0,0,0.77,78.89,2.3,0.77,26.81,0.77,33.7,6.89,236.68,3.83,0,3.06,0.77,3.83,13.79,0,0.77,0.77,160.85,2.3,5.36,6.89,83.49,5.36,7.66,13.02,0,3.06,2.3,0,3.06,0,0,26.04,1.53,11.49,35.23,34.47,1.53
120,0,0,0,47.03,1.96,0,23.52,1.96,27.44,0,231.25,0,0,3.92,5.88,1.96,21.56,0,1.96,0,86.23,0,9.8,0,56.83,13.72,1.96,3.92,0,0,5.88,0,0,0,0,21.56,0,15.68,50.95,17.64,0
