stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,680.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,34.17,0,73.6,0,0,0,123.55,0,0,0,0,0,55.2,0,0,0,0,0,0,0,0,0,0,1072.51,26.29,0,0,381.16,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,72.38,0,15.73,0,169.94,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,714.36,12.59,0,0,295.82,0,0,0,3.15,66.09,0,3.15,6.29,0,0,0,0,0
 14-21,0,2,0,27,479,74,0,32,0,2,0,3,11,1,5,0,3,0,0,1,140,2,0,81,440,2,2,7,37,0,24,0,79,8,0,42,104,0,0,3,0,0
 24-34,0,0,0.82,6.57,123.95,8.21,0,49.25,0,9.85,3.28,12.31,6.57,0,1.64,0,0.82,1.64,7.39,5.75,241.33,2.46,4.1,88.65,288.94,1.64,4.1,14.78,0,0,4.93,0,2.46,2.46,0,7.39,60.74,0,0,27.09,0,1.64
 36-46,0,0,0,0,24.98,0.81,0,26.59,0.81,0,3.22,2.42,3.22,0,2.42,0.81,0,0,0,2.42,119.24,0,5.64,23.36,70.9,0.81,1.61,3.22,0,0,0.81,0.81,0,0,0,0,9.67,0,0,3.22,0,0.81
 48-58,0,0,0,0.57,44.76,0.57,0,22.38,0.57,10.33,12.05,5.74,1.15,0,4.59,0,0.57,1.15,2.3,0,187.63,1.72,13.77,45.9,59.68,0,2.3,4.59,0,1.15,2.87,0,0,0,0.57,0.57,12.62,0,1.15,8.03,1.15,0.57
 60-70,0,0,0,0,51.04,0.98,0,21.59,0.98,8.83,12.76,7.85,4.91,0,0.98,0.98,0,0,0.98,0.98,141.34,0,18.65,16.69,53,1.96,0,0,0,0.98,2.94,0,0,0.98,0,0,4.91,0,2.94,4.91,4.91,0
 72-82,0,0,0,0,44.17,0.98,0,22.58,0,11.78,22.58,6.87,4.91,0,1.96,2.94,0.98,0,0.98,0.98,158.05,0.98,12.76,37.3,32.39,0,0.98,10.8,0,0.98,0,0,0,0,0.98,0,0.98,0.98,2.94,1.96,4.91,1.96
 84-94,0,0,0,0,100.89,0,2.12,16.99,0,14.87,13.81,3.19,4.25,0,1.06,2.12,6.37,0,0,1.06,161.43,1.06,20.18,30.8,43.54,1.06,5.31,10.62,0,0,3.19,0,0,0,0,0,3.19,6.37,1.06,7.43,6.37,0
 96-106,0,0,1.09,0,55.74,1.09,1.09,10.93,0,12.02,14.21,2.19,4.37,0,2.19,3.28,1.09,1.09,0,0,61.2,1.09,9.84,15.3,25.14,1.09,4.37,5.46,0,0,5.46,0,0,0,0,0,2.19,2.19,0,7.65,5.46,0
108-118,0,0,0,0.77,94.21,0,3.83,9.96,0.77,20.68,8.43,3.06,9.19,0,0.77,2.3,3.83,0.77,1.53,0,98.81,1.53,6.13,25.28,32.94,7.66,5.36,6.13,0,0.77,3.06,0,0,1.53,0,0,1.53,7.66,2.3,5.36,0,0.77
120,0,0,0,0,39.2,0,0,5.88,0,9.8,7.84,0,3.92,0,0,0,3.92,0,1.96,1.96,60.75,0,5.88,13.72,17.64,1.96,5.88,3.92,0,0,0,0,0,1.96,0,0,1.96,1.96,1.96,3.92,1.96,0
