stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,237.2,4454.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.38,0,0,0,0,0,0,0,0,0,0
  5-6,527.15,8250.49,6.13,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,147.11,6.13,0,0,55.17,0,171.63,0,0,0,0,0,0,0,0,0,0
  7-9,236.58,226.07,307.56,0,0,0,741.3,0,0,0,0,0,223.44,0,0,0,0,0,0,0,0,0,0,0,6582.3,233.96,0,0,2315.9,0,21.03,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,72.38,154.2,0,18.88,0,305.26,0,0,0,0,0,50.35,0,0,0,0,0,0,0,0,0,0,0,2533.31,69.23,0,0,959.83,0,0,15.73,6.29,88.12,0,0,3.15,0,0,0,0
 14-21,0,0,1,20,6,0,4,0,0,0,3,1,2,0,0,2,0,0,0,0,18,0,0,13,160,3,0,0,7,0,4,0,22,2,2,37,63,0,3,0,0
 24-34,0,0,1.64,5.75,0,0,18.88,0,0.82,0.82,1.64,0.82,0,0.82,0.82,0,0,1.64,0.82,0,17.24,0,0,4.93,167.45,1.64,0,0.82,0,0.82,4.1,0,0,0,0,4.93,51.71,0,4.1,0,0
 36-46,0,0,0,3.22,0,0,51.56,0,0,0,8.86,0,0,0,0,0,0,3.22,0.81,0,12.09,0,0,2.42,217.53,0.81,0.81,0.81,0,0,4.03,0,0.81,0,0,0,49.95,0,0.81,0,0
 48-58,0,0,0,1.15,0,0,61.4,0.57,0,0,10.9,0,0,0,0,0,0,1.15,0,0,24.1,0.57,1.15,4.59,134.84,0.57,1.15,1.15,0,0,2.3,0,0,0,0.57,0,27.54,0,1.15,0,0.57
 60-70,0,0,0,3.93,0.98,0,69.69,0,1.96,0,15.7,0,0,0,0,0,0,0,0,0,13.74,0,1.96,0,109.93,0.98,0.98,0,0,0,3.93,0,0,0,0,0,11.78,0,2.94,0,0
 72-82,0,0,0,3.93,4.91,0,45.16,0.98,0,0,15.71,0.98,0,0,0.98,0.98,0,0.98,0.98,0,14.72,0,0.98,3.93,94.24,0.98,3.93,0.98,0,0,6.87,0,0,0,0,0,5.89,0.98,3.93,0,0.98
 84-94,0,0,0,6.37,0,0,32.92,0,0,1.06,11.68,3.19,0,0,4.25,2.12,1.06,0,0,0,14.87,1.06,2.12,2.12,49.92,1.06,2.12,0,0,0,23.36,0,0,1.06,0,0,2.12,0,4.25,1.06,1.06
 96-106,0,0,0,2.19,5.46,0,24.04,0,1.09,0,6.56,2.19,0,4.37,3.28,2.19,0,0,1.09,1.09,22.95,0,1.09,6.56,42.62,2.19,3.28,1.09,0,0,14.21,0,0,0,0,0,1.09,0,6.56,2.19,0
108-118,0,0,0.77,9.96,0.77,0.77,20.68,1.53,6.89,3.06,5.36,0.77,0,0,1.53,0.77,0.77,0,0,0.77,20.68,0,0.77,6.89,44.43,0.77,0.77,1.53,0,0,14.55,0,0,0,0.77,0,0.77,2.3,3.83,0.77,0.77
120,0,0,0,15.68,1.96,0,35.28,0,1.96,1.96,9.8,1.96,0,0,1.96,1.96,0,0,1.96,0,21.56,0,1.96,3.92,60.75,1.96,3.92,1.96,0,0,35.28,0,0,0,0,0,1.96,0,3.92,0,0
