stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,5.26,0,0,10.51,0,0,0,10.51,0,0,0,0,0,0,0,131.44,5.26,0,0,21.03,0,0,0,0,0,0,0,0
 10-12,0,9.44,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,62.94,6.29,0,0,31.47,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,3,3,0,3,0,0,0,0,0,0,4,0,5,60,2,0,1,1,0,10,1,6,15,0,0,0
 24-34,0,0,0,1.64,0,9.85,0,0.82,0,0,0,0,0,0,1.64,0,3.28,64.85,0,0.82,0,0,0.82,0,0,0,18.88,0,0.82,0
 36-46,0,0,0,0,0,11.28,0,2.42,0,0,0,0,0,0,8.06,0.81,0.81,33.84,0,0.81,0,0,0,0,0,0,8.86,0,2.42,0
 48-58,0,0,0,0,0,10.9,1.15,2.3,0,0,0,0,0.57,0,9.18,0.57,0.57,20.08,0,0,1.15,0,0,0,0,0,6.31,0,0,0
 60-70,0,0,0,0,0,4.91,0.98,4.91,0,0,0,0,0,0,4.91,0,0.98,14.72,0,0,0,0,0.98,0,0,0,1.96,0,1.96,0
 72-82,0,0,0,0,0,6.87,0,2.94,0,0,0.98,0,0,0.98,7.85,0,0.98,12.76,0,0,0.98,0,0,0,0,0,1.96,0.98,1.96,0
 84-94,0,0,0,2.12,0,1.06,0,1.06,0,0,0,0,0,0,4.25,0,0,6.37,0,0,0,0,0,0,0,0,1.06,0,1.06,1.06
 96-106,0,0,0,0,0,3.28,0,2.19,0,0,0,0,0,0,3.28,0,0,0,0,1.09,1.09,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,0.77,1.53,0,2.3,0.77,0,0,0.77,0,0,1.53,0,0,3.83,0,0,0.77,0,0.77,0,0,0,0,0,0.77,0
120,0,0,0,1.96,0,3.92,0,1.96,0,0,0,0,0,0,3.92,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0
