stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,318.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,123.55,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,18.88,0,0,0,18.88,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,0,0,1,0,0,0,17,0,12,118,0,0,0,1,0,0,0,6,0,11,23,1,0,0,0,0
 24-34,0,0,0,0,1.64,9.03,2.46,0,0,2.46,0,0,0,55,0,63.21,497.44,0,0,0,0,0,0,0,0,0,0,3.28,24.63,0,0,0,0
 36-46,0,0,0.81,0,0.81,8.86,2.42,0,0,14.5,0,0,0,91.85,0,29.81,561.55,0,0,0,0,0,0.81,0,0,0,0,0,21.75,0,0.81,0,0.81
 48-58,0,0,0,0,1.15,23.53,1.15,0,0.57,18.94,0,0,0,76.32,0,11.48,375.27,0,0,0,0,0,0,0,0,0,0,0,14.92,0,0,0,0.57
 60-70,0,0,0,0,0.98,17.67,0,0,0,29.45,0,0,0,55.95,0.98,5.89,252.25,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0.98,0
 72-82,0,0,0,0,4.91,33.38,0.98,0,0,38.28,0,0,0,38.28,0,7.85,236.58,0,0,0,0,0.98,0,0,0,0,0,0,3.93,0,0,0,0
 84-94,0,0,0,0,4.25,36.11,0,0,0,27.61,0,0,1.06,46.73,1.06,2.12,172.05,0,0,0,0,0,2.12,1.06,0,0,0,0,5.31,1.06,0,2.12,0
 96-106,0,0,0,0,3.28,29.51,1.09,0,0,46.99,0,0,0,31.69,0,3.28,85.24,0,1.09,1.09,0,0,1.09,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0.77,3.06,19.15,0,0,0.77,30.64,0,0.77,0,24.51,0,2.3,122.55,0,0,0,0,0,0.77,0,0,0,0,0,0.77,0.77,0,0,0
120,1.96,0,0,0,3.92,11.76,0,1.96,1.96,27.44,0,0,0,9.8,0,0,125.43,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0
