stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0.82,1.64,13.13,0,0,0,0,38.58,0,0,0,0,0
 36-46,0,0,0.81,0,0,1.61,0.81,0,0,0,0,0,2.42,4.03,1.61,74.12,0,0,0,0.81,39.48,0,0,0,0,0
 48-58,0,0,1.72,0.57,0,17.21,0.57,0.57,0.57,0.57,0,0,0.57,16.64,2.3,170.42,0,0.57,0.57,0,39.02,0,0,0,0,0
 60-70,0,0,0,0,0,40.24,0,0.98,4.91,0,0.98,0,0,16.69,1.96,142.32,0,0,0.98,0.98,50.06,0,0,0,0,0.98
 72-82,0,0,2.94,0,0,57.92,0,0,12.76,0,0,0.98,0.98,23.56,1.96,78.53,0,0,0,0,20.61,0.98,0,1.96,0.98,0
 84-94,0,0,5.31,0,0,33.99,0,0,12.74,0,0,0,0,10.62,2.12,56.29,0,0,1.06,0,11.68,0,0,0,0,0
 96-106,0,0,3.28,0,0,33.88,1.09,1.09,25.14,0,0,1.09,0,9.84,0,26.23,1.09,0,0,0,5.46,0,2.19,0,0,0
108-118,0,0,3.83,0,0,27.57,0,0.77,15.32,0,0,0,0.77,6.89,1.53,47.49,0,0,0,0,3.83,0,0.77,0,0,0
120,0,0,5.88,0,1.96,35.28,0,0,13.72,0,0,0,0,5.88,1.96,56.83,0,0,0,0,3.92,0,0,0,0,0
