stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,29,0,0,20,0,0,0,2,1,0,0,0,0,0,2,0,8,0,0,3,16,0,1,1,0,0,1,0,1,19,0,7,29,0,0,0,0,0
 24-34,0,0.82,0,1.64,0,0,98.5,0,1.64,0.82,9.03,0,0,0.82,0.82,0,0,4.93,7.39,11.49,0,0,4.93,133.8,47.61,2.46,1.64,0,0,0,0,0,12.31,0,5.75,55.82,0,0,1.64,0,0
 36-46,0,0.81,0,2.42,0,0,64.45,0.81,0,4.03,52.37,0,0,0,0,4.03,0,1.61,12.89,10.47,0,0.81,7.25,177.25,61.23,4.03,0,0,0,1.61,0,0,16.11,0,0,91.85,0,0,4.03,0,0.81
 48-58,0,0,0,1.72,0,0,96.97,1.15,0,1.72,75.17,0,0,0,0,10.33,0,1.15,20.08,25.25,0,0,4.59,113.61,32.71,1.15,1.15,0,0,0,0,0,2.87,0,0,115.33,0,0,0.57,0,0
 60-70,0,0,0,1.96,0,0,108.95,2.94,0,8.83,75.58,0,0,0.98,0,24.54,0,0.98,6.87,84.41,0,0,3.93,77.54,17.67,0.98,0,0,0,0.98,0,0,4.91,0,0,37.3,0,0,0,0,0
 72-82,0,0,0.98,0.98,0.98,0,135.47,1.96,0.98,5.89,142.34,1.96,0,0,0,30.43,0,0,7.85,202.22,0,0,8.83,91.29,19.63,3.93,4.91,0,0.98,0,0,0,13.74,0.98,0,30.43,0,0,1.96,1.96,0.98
 84-94,0,0,0,2.12,1.06,0,221.97,0,0,5.31,111.51,2.12,0,0,0,36.11,0,2.12,24.43,169.93,0,0,4.25,50.98,19.12,3.19,3.19,0,0,2.12,0,0,25.49,0,0,32.92,0,1.06,2.12,2.12,1.06
 96-106,0,0,2.19,3.28,0,1.09,191.25,0,1.09,3.28,124.58,2.19,0,0,0,46.99,0,3.28,10.93,83.06,0,0,1.09,59.01,20.76,6.56,4.37,0,0,0,0,0,19.67,0,0,25.14,1.09,1.09,1.09,2.19,4.37
108-118,0,1.53,0,4.6,0,0.77,182.3,4.6,1.53,4.6,101.11,0,0,0,1.53,80.43,0.77,5.36,10.72,47.49,0.77,0.77,3.83,56.68,21.45,1.53,5.36,0,0,0.77,0,0,17.62,0,0,13.79,0,0,0.77,0.77,2.3
120,0,0,1.96,1.96,1.96,0,97.99,3.92,1.96,0,82.31,0,0,0,1.96,29.4,0,1.96,3.92,43.12,0,0,1.96,37.24,13.72,1.96,3.92,0,0,0,0,0,27.44,0,0,5.88,0,0,3.92,0,0
