stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,281.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,220.67,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,0,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,57.83,5.26,0,0,26.29,0,44.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,6.29,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,204.55,0,0,0,12.59,0,18.88,6.29,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,13,697,77,0,3,18,0,0,10,3,1,0,55,1,0,0,0,17,8,0,12,43,0,5,40,2,0,107,0,7,4,5,11,0,0,20,0,0
 24-34,0,0,0,4.1,720.71,4.93,0,9.85,104.25,1.64,0.82,13.13,1.64,4.93,3.28,39.4,0,14.78,3.28,0,45.15,22.98,0,16.42,108.35,0.82,23.8,23.8,0,0,266.78,0,0,0.82,1.64,18.88,0,0,53.36,0,2.46
 36-46,0,0,0,0.81,310.99,0,0,7.25,80.57,2.42,4.83,4.83,0,3.22,4.03,8.06,0,10.47,2.42,0,24.98,14.5,0.81,4.03,108.77,0,10.47,8.86,0,0,205.45,0,0,0.81,0,11.28,0,0,30.62,0,5.64
 48-58,0,0,0,1.15,274.28,0,0,20.66,126.24,12.62,3.44,5.16,1.15,2.3,5.74,7.46,0.57,12.62,0.57,2.87,40.17,14.92,0.57,4.59,67.14,0,10.9,9.18,0,0.57,152.06,0,0,2.3,0,9.18,0,0,25.82,0,7.46
 60-70,0,0,1.96,0,230.66,0,0,16.69,96.19,18.65,4.91,18.65,0,0,10.8,13.74,1.96,9.82,3.93,0,59.87,9.82,0,4.91,44.17,0,10.8,2.94,0,2.94,130.54,0,0,0,0,6.87,6.87,0,12.76,0,3.93
 72-82,0,0,8.83,0,282.72,0.98,0,22.58,102.09,29.45,8.83,62.83,0,1.96,22.58,33.38,0,20.61,2.94,0,103.07,16.69,2.94,0,60.86,0,18.65,8.83,0,7.85,107.98,0,0,0.98,0,4.91,26.5,0,39.27,0,2.94
 84-94,0,0,9.56,0,408.88,4.25,1.06,20.18,140.19,25.49,7.43,92.4,2.12,1.06,19.12,33.99,3.19,21.24,2.12,1.06,101.96,12.74,2.12,2.12,26.55,1.06,20.18,7.43,0,3.19,270.82,0,0,3.19,0,1.06,52.04,0,26.55,3.19,5.31
 96-106,0,0,15.3,0,417.47,3.28,0,8.74,135.51,10.93,8.74,123.49,1.09,3.28,42.62,37.16,7.65,22.95,1.09,0,90.71,10.93,3.28,1.09,32.79,0,52.46,7.65,0,2.19,206.55,0,0,2.19,0,1.09,96.17,1.09,33.88,0,5.46
108-118,1.53,0,6.89,1.53,296.43,0,0.77,4.6,140.17,10.72,4.6,100.34,0,0.77,22.98,38.3,3.06,15.32,2.3,1.53,68.94,8.43,2.3,1.53,36.77,0.77,19.15,9.96,0,3.83,132.51,0,0,2.3,0,0,70.47,0,34.47,0.77,0.77
120,0,0,5.88,0,176.38,1.96,1.96,5.88,96.03,0,1.96,76.43,0,0,33.32,11.76,5.88,3.92,0,0,33.32,7.84,3.92,1.96,31.36,0,17.64,5.88,0,0,123.47,0,0,0,0,1.96,25.48,0,11.76,3.92,1.96
