stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
 24-34,0,0.82,0,0,2.46,0,0,0,0,0,0,0,0.82,2.46,0,4.93,0,0,0,215.89,0,0,0,0.82,0,0
 36-46,0,1.61,0,0,1.61,2.42,0,0,0,0,0,0.81,0,2.42,0,8.06,0,1.61,0,490.65,0.81,6.45,0,0,0,0
 48-58,0,2.3,0.57,0,2.3,4.02,1.15,0,0,0.57,0,0,1.72,2.3,0,5.74,0,1.15,0,385.02,0.57,4.02,0,0,0,0.57
 60-70,0,2.94,0,0,2.94,3.93,3.93,0,0,0.98,0.98,0,0.98,1.96,0,5.89,0,0,0,397.52,0,2.94,0,0,0,0
 72-82,0,5.89,0,0,0.98,2.94,0,0,0,2.94,0,0,0.98,3.93,0,7.85,0,0,0.98,348.49,0,0,0,0,0,0
 84-94,0,9.56,1.06,0,2.12,15.93,1.06,1.06,0,4.25,0,0,0,5.31,0,5.31,1.06,1.06,0,983.45,1.06,0,1.06,0,0,0
 96-106,0,9.84,1.09,1.09,7.65,8.74,1.09,1.09,1.09,10.93,1.09,0,2.19,12.02,0,20.76,0,0,0,902.69,1.09,0,0,0,1.09,0
108-118,0,7.66,0.77,0,0.77,19.92,1.53,0,0,14.55,0,0,0.77,10.72,0,3.83,0,0,0,883.92,0,0,0,0,0.77,0
120,0,7.84,0,0,0,19.6,1.96,0,0,7.84,0,0,1.96,9.8,1.96,17.64,0,1.96,0,515.42,0,0,0,0,0,0
