stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,113.03,0,0,0,42.06,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,129.03,0,0,0,62.94,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,15,2,1,0,0,0,0,2,0,5,0,1,0,0
 24-34,0,0,0,0.82,0,5.75,0,0,1.64,0,0,0,0,0,0.82,5.75,0,0,0.82,63.21,0.82,0.82,0.82,0,0,1.64,0,0,9.85,0,0,0,0
 36-46,0,0,0,1.61,0,17.72,0,0.81,3.22,0,0,0,0,0,0,4.03,0,0,1.61,79.76,0,0,0,0,0,2.42,0,0,12.09,0,0.81,0,0
 48-58,0,0,0,0,0.57,14.92,0,0,2.87,0,0,0.57,0,0,0,4.02,0,0.57,0.57,49.92,0,0,0.57,0,0,0.57,0,0,18.36,0,1.15,0,0.57
 60-70,0,0,0,0.98,0,20.61,0,1.96,4.91,0,0,0,0,0,0,5.89,0,0,0,36.32,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,0,6.87,0.98,35.34,0,0,3.93,2.94,0,0,0,0,0.98,12.76,0,0,0.98,53.99,0,1.96,0.98,0,0,1.96,0,0,5.89,0,1.96,0.98,0
 84-94,0,0,0,1.06,2.12,8.5,0,0,0,1.06,0,1.06,1.06,0,0,3.19,1.06,0,0,16.99,0,0,1.06,0,0,1.06,0,1.06,2.12,1.06,0,0,1.06
 96-106,0,0,0,0,0,15.3,0,0,5.46,0,0,0,0,1.09,0,3.28,0,0,0,17.49,0,2.19,0,0,0,2.19,0,1.09,3.28,0,1.09,0,0
108-118,0,0,0,0.77,0,6.89,0,0.77,0.77,0.77,0,0.77,0.77,0,0,5.36,0.77,0,0,22.98,0,0.77,0.77,0,0,1.53,0,0,0.77,0.77,0.77,0.77,0
120,0,0,0,0,1.96,7.84,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,9.8,0,0,0,0,1.96,1.96,0,0,0,0,0,1.96,1.96
