stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,2.63,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.81,0,0,0,47.32,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,22.03,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.79,0,0,0,50.35,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,19,6,21,0,0,0,1,3,0,0,0,0,0,0,8,0,0,8,120,1,2,2,4,0,1,9,5,0,9,41,0,0,2,0,0
 24-34,0,0,1.64,8.21,0.82,23.8,0,0,0,5.75,0,0,0,0,0.82,0.82,0,12.31,0,0,5.75,200.29,2.46,0,2.46,0,0,0,0,0,0,3.28,36.94,0,0,4.93,0,0
 36-46,0,0,0,4.03,1.61,20.95,0,0,0,15.31,0,0.81,0,1.61,0,0.81,0,26.59,0,0.81,4.83,218.34,0.81,0.81,4.83,0,0,0,0,0,0,0,33.03,0,0,0,0,0.81
 48-58,0,0,0,3.44,0,33.85,0,0,1.15,33.85,0.57,0,0.57,0,0.57,0,0.57,32.13,0.57,0,4.59,179.03,0.57,0,1.72,0,0.57,1.15,0,1.72,0,0,28.12,0,0,0.57,0,0.57
 60-70,0,0,0,2.94,0,53.98,0,0,0,30.43,1.96,0,0,0,0,0,1.96,25.52,0,0.98,0.98,299.36,0.98,0,1.96,0,0,0.98,0,0.98,0.98,0,15.7,0,0,0.98,0,0.98
 72-82,0,0,0,3.93,1.96,75.59,0,0,0,40.25,0.98,0.98,0,1.96,0,0,0.98,39.27,0.98,0.98,0.98,295.48,0,0,2.94,0,0,2.94,0,0.98,0,0,11.78,0.98,2.94,1.96,4.91,0
 84-94,0,0,0,4.25,0,44.61,1.06,0,2.12,30.8,0,0,0,2.12,1.06,1.06,7.43,25.49,0,0,4.25,167.8,1.06,0,4.25,0,0,1.06,0,2.12,0,0,4.25,1.06,1.06,3.19,1.06,1.06
 96-106,0,0,0,3.28,1.09,42.62,0,1.09,1.09,16.39,1.09,2.19,2.19,0,0,0,3.28,22.95,1.09,0,3.28,160.65,0,0,2.19,0,0,0,0,0,0,0,4.37,1.09,0,3.28,1.09,0
108-118,0,0.77,0,3.06,0.77,33.7,0.77,0,0.77,26.81,0,0.77,0.77,0,0,0,7.66,8.43,0.77,1.53,3.83,196.09,0.77,0,2.3,0,0,1.53,0,2.3,0,0,5.36,0,1.53,3.83,0,0.77
120,0,0,0,1.96,0,41.16,0,0,0,23.52,0,0,1.96,0,0,0,0,11.76,0,0,3.92,233.21,0,0,7.84,0,0,0,0,0,0,0,1.96,0,0,0,0,0
