stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,28.73,0,0.82,0,0,0,2.46,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,1.61,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,5.74,0,0.57,0,14.35,0,0,0,0,0.57,0,0,0,0.57,0.57,3.44,0,0,18.36,0,0.57,0,0,0,114.19,0,6.89,0,0,0,0,0
 60-70,0,0,1.96,0,0,4.91,0,0,0,22.58,0,0.98,0,0,3.93,0,0,0,0,1.96,0.98,0,0.98,9.82,0,0.98,0,0,0.98,213.97,0,1.96,0,0,0,0,0
 72-82,0,0,16.69,1.96,0,19.63,0,12.76,0.98,45.16,0,0,0.98,0.98,9.82,0,0,0,0,22.58,13.74,0.98,0,40.25,0.98,0.98,0.98,0,0,647.9,0,2.94,0,0,1.96,0,0.98
 84-94,0,0,30.8,2.12,0,13.81,0,43.54,1.06,38.23,0,0,0,2.12,41.42,1.06,2.12,1.06,0,12.74,14.87,1.06,2.12,36.11,1.06,0,1.06,0,0,2081.59,0,0,0,0,0,0,1.06
 96-106,0,1.09,183.6,19.67,1.09,85.24,2.19,91.8,5.46,57.92,5.46,0,1.09,15.3,100.54,4.37,4.37,3.28,3.28,55.74,42.62,5.46,9.84,168.3,1.09,5.46,3.28,0,1.09,3216.25,3.28,5.46,9.84,3.28,10.93,6.56,4.37
108-118,0,0,232.85,6.13,7.66,44.43,0.77,183.07,3.83,27.57,5.36,0,1.53,8.43,148.6,0.77,2.3,4.6,0,42.13,71.23,1.53,9.96,137.11,1.53,0.77,2.3,0,1.53,3541.81,0,2.3,6.13,3.06,9.96,0.77,6.13
120,0,0,190.1,7.84,1.96,33.32,0,119.55,1.96,23.52,3.92,0,0,0,62.71,0,0,1.96,0,29.4,35.28,1.96,0,115.63,1.96,1.96,0,0,0,1861.8,0,3.92,0,0,7.84,5.88,3.92
