stage,axial,blastomeres,endoderm,eye,fin.mesenchyme,glial,hatching.gland,mesenchyme,mucous,neural,otic,paraxial.mesoderm,periderm,somites,spinal.cord,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,18.39,134.85,6.13,0,0,0,0,0,0,0,0,18.39,0,0,0,0
  7-9,0,0,7.89,2.63,0,0,0,0,0,65.72,0,7.89,0,0,0,0
 10-12,0,0,0,9.44,0,0,3.15,0,0,37.76,0,9.44,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,27,1,0,0,1,5,0
 24-34,0,0,0,3.28,0,0,0,0,0,13.95,0,0,0,0,4.1,0
 36-46,0,0,0,5.64,0,4.03,0,0,0.81,5.64,0,0,0,0,3.22,0.81
 48-58,0,0,0,1.72,0,8.03,0,0,0,3.44,0,0,0,0,2.3,0
 60-70,0,0,0,0.98,0,3.93,0,0,0,3.93,0,0,0,0,0.98,0
 72-82,0,0,0,4.91,0,1.96,0,1.96,0,3.93,0.98,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,5.88,0,0,0,0,0,0
