stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0.82,0,0,0,4.93,0,0,22.98,0,0,0,0,0,0,12.31,0,0,0.82,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,0,4.03,0,0,59.62,0,0,0,0,0,0,24.17,0,0,0,0
 48-58,0,0,0,0.57,0,5.16,0.57,0.57,0,0,0.57,5.74,0,0,99.27,0,0,0,0,0,0,23.53,0,0,1.72,0
 60-70,0,0,0.98,0.98,0,18.65,0,0.98,0,0,0,16.69,0.98,1.96,358.26,0.98,0,1.96,2.94,0,0,61.84,0,0,0.98,0.98
 72-82,0,0,0,4.91,0,40.25,0.98,3.93,0,0,0,44.17,2.94,1.96,424.08,0,0,0,0,0.98,0,58.9,0,3.93,0.98,3.93
 84-94,0,0,0,1.06,0,33.99,1.06,4.25,0,0,1.06,15.93,2.12,1.06,286.75,0,1.06,1.06,0,0,1.06,36.11,1.06,4.25,7.43,1.06
 96-106,0,0,0,3.28,3.28,31.69,1.09,7.65,0,0,1.09,30.6,5.46,0,237.15,0,0,2.19,0,0,0,19.67,0,1.09,1.09,3.28
108-118,0,0,0,4.6,0.77,26.04,0,5.36,0.77,0.77,0,25.28,3.83,0,278.81,0,0.77,0.77,0,0,0,20.68,0.77,0.77,3.83,2.3
120,0,0,0,1.96,0,39.2,0,13.72,0,1.96,0,29.4,0,0,323.36,0,0,0,1.96,0,0,23.52,0,0,3.92,0
