stage,blastomeres,eye,glial,iridophores,mesenchyme,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,5.26,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,2,1
 24-34,0,0,0,0,0.82,1.64,0,3.28,0,0,0,1.64
 36-46,0,0,1.61,0,0,4.03,0,1.61,0,0.81,1.61,1.61
 48-58,0,0,1.15,0,0.57,3.44,0,1.72,0,0,0,0.57
 60-70,0,0.98,0.98,0.98,0.98,1.96,0,0,0.98,0,0,2.94
 72-82,0,0.98,1.96,0.98,0,1.96,0,3.93,1.96,0,0,0
 84-94,0,0,2.12,1.06,0,2.12,0,2.12,3.19,0,0,0
 96-106,0,0,0,1.09,0,0,0,1.09,2.19,0,0,1.09
108-118,0,0,0.77,0,0,2.3,0,0.77,2.3,1.53,0,0
120,0,0,0,0,0,0,0,0,5.88,0,0,0
