stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.26,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.44,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,670.3,6.29,0,0,44.06,0,0,3.15,9.44,0,0,0,0,0,0,0
 14-21,0,0,5,21,0,7,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,1,393,0,8,6,1,0,0,2,0,4,0,280,0,0,0,0
 24-34,0,0.82,0.82,9.03,0.82,114.92,0,0.82,0.82,8.21,0,0,0,0,0.82,0,0.82,0,8.21,0,0,2.46,2043.11,1.64,13.95,7.39,0,0,4.1,0,0.82,0,0.82,497.44,0,0,1.64,0
 36-46,0,0,0,6.45,0,313.41,0,0,0.81,12.09,0,0,0,0.81,0,0,0.81,0,11.28,0,0.81,2.42,2218.81,0.81,4.83,4.03,0,0,6.45,0,1.61,0,0,632.45,0,0,2.42,1.61
 48-58,0,0,0,5.16,0,582.99,0.57,0,0.57,43.04,0.57,0,0.57,1.15,0.57,0,1.72,0,16.64,0,1.15,6.31,1733.46,0.57,5.16,4.02,0,0,3.44,0,0,0,0,492.9,0,0.57,0,1.15
 60-70,0,0,0,4.91,0.98,276.79,0,0.98,0.98,18.65,0,0,0,0.98,0,0.98,2.94,0,7.85,0.98,0,1.96,591.86,0,0,1.96,0,0.98,0.98,0,0.98,0,0,116.8,0,0,0,0
 72-82,0,0,0,5.89,0,214,0,0,1.96,26.5,0,0,0.98,2.94,0,0,0.98,0,15.71,0,0,2.94,671.46,0,1.96,2.94,0,0.98,0,0,0,0,0,67.73,0,0,0,0
 84-94,0,0,0,5.31,0,118.95,0,0,0,22.3,0,0,0,1.06,1.06,0,2.12,0,2.12,1.06,0,0,266.57,0,2.12,3.19,0,0,1.06,0,0,0,0,38.23,1.06,0,1.06,0
 96-106,0,0,0,2.19,2.19,55.74,1.09,0,0,21.86,1.09,0,1.09,0,1.09,0,2.19,0,6.56,0,0,2.19,161.74,0,0,2.19,0,1.09,1.09,0,0,0,0,2.19,0,0,2.19,0
108-118,0,0,0,3.83,0,49.02,0,0,0,5.36,0.77,0,0,0,0.77,0,0.77,0,4.6,0,0,0,157.79,0,2.3,1.53,0,0,0,0,0,0,0,6.13,0.77,0,0.77,0
120,0,0,0,7.84,0,90.15,1.96,3.92,0,17.64,0,0,0,3.92,0,0,0,1.96,3.92,0,1.96,7.84,268.49,0,5.88,3.92,0,0,0,0,0,0,0,9.8,0,0,1.96,0
