stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,1,0,1,1,0,1,0,0,2,0
 24-34,0,0,0.82,0,1.64,0.82,4.1,0.82,0,0,0.82,0
 36-46,0,0.81,1.61,0,0.81,0,10.47,1.61,0,0.81,0.81,0
 48-58,0,0.57,4.02,1.15,0.57,0.57,6.31,0,0,0,0.57,0
 60-70,0,0,3.93,0,1.96,0.98,8.83,0.98,0,0,0.98,0
 72-82,0,0,1.96,0.98,0.98,0.98,4.91,0,0,0,0,0
 84-94,0,0,1.06,1.06,0,0,3.19,2.12,0,0,0,0
 96-106,0,0,0,1.09,3.28,0,1.09,2.19,0,0,0,1.09
108-118,0,0,0.77,0,0,1.53,3.06,3.83,0,2.3,0,0
120,0,0,3.92,0,0,0,1.96,3.92,0,0,0,0
