stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,10,5,8,1,1,0,1,0,0,1,1,0,0,0,0,0,4,0,0,1,10,1,8,15,0,0,0,0,2,0,0,17,0,0,0,0,0
 24-34,0,0,8.21,0,2.46,0,13.13,0,0,0.82,0.82,1.64,0.82,0,0.82,0,0,0,0.82,0,0,1.64,45.97,0,14.78,23.8,0,0,0,0,0,0,0.82,30.37,0,0,0,0,0
 36-46,0,0,2.42,0,0,4.03,33.84,0,0,0,0.81,0.81,0,0,0,0.81,0,0,0,0,0,0,73.32,0,8.86,5.64,0,0,1.61,0,0,0,0,32.23,0,0,0,0,0
 48-58,0,0,2.87,0,1.15,0,40.74,0,0,0,2.87,4.59,0,0,0,2.3,2.3,0.57,2.87,0.57,0,2.3,89.51,0,2.87,9.75,0,0,1.15,0,0,0,0,30.41,0,0,0,0,0
 60-70,0,0,6.87,0,1.96,0,48.09,0,0,2.94,24.54,26.5,0,0,0,0,2.94,1.96,4.91,0,1.96,1.96,32.39,0,3.93,9.82,0,0,3.93,0,0,0,0,26.5,0,0.98,0,0,0.98
 72-82,0,0,38.28,0,3.93,0.98,43.19,1.96,0,1.96,79.51,148.23,0,0.98,0,0,4.91,1.96,2.94,0,0,0,51.05,0,6.87,38.28,0,0.98,2.94,0,0,0,0,12.76,0,0.98,0,0,1.96
 84-94,0,0,30.8,0,4.25,1.06,30.8,1.06,1.06,0,53.1,278.25,0,0,0,0,13.81,2.12,3.19,0,1.06,3.19,29.74,0,5.31,53.1,0,0,11.68,0,0,0,0,11.68,1.06,4.25,0,2.12,0
 96-106,0,0,37.16,0,1.09,3.28,37.16,2.19,2.19,2.19,80.87,396.7,0,0,1.09,1.09,16.39,0,3.28,0,2.19,1.09,60.11,0,9.84,53.55,0,1.09,1.09,1.09,0,0,0,1.09,0,0,0,0,0
108-118,0,0,21.45,0.77,3.83,0,24.51,1.53,0,0.77,55.15,380.68,0,0.77,0.77,0,8.43,3.83,4.6,0,0,3.06,53.62,0,6.89,36.77,0,0,3.83,0,0,2.3,0,2.3,0.77,1.53,0.77,0,0.77
120,0,0,19.6,0,0,1.96,23.52,1.96,0,0,39.2,262.61,0,0,0,0,3.92,3.92,0,0,0,3.92,29.4,0,5.88,45.08,0,0,1.96,0,0,1.96,0,1.96,0,0,1.96,0,1.96
