stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,97.56,0,15.73,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,14,0,6,0,0,4,0,0,0,0,7,0,1,0,3,0,0,0,0,0
 24-34,0,0,3.28,0,0,0,0,0,0.82,0,0.82,0.82,0,1.64,0,1.64,16.42,0,34.48,0,0,7.39,4.93,0.82,0,0,22.16,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0.81,8.06,0,51.56,0,0,11.28,2.42,0,0,0,12.09,0,0,1.61,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,1.72,0,0,0.57,0.57,0,0,0,0,0,13.77,0,58.53,0,0,10.33,4.02,0,0,0,13.77,0,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,1.96,0,0,3.93,0,0,0,15.7,0,0.98,0,0,0,34.35,0,47.11,1.96,0,1.96,7.85,0,0,0,13.74,0,0,0,0,0,0,0,0,0
 72-82,0,3.93,0.98,0,0.98,0,9.82,0,0.98,1.96,111.91,0,0,0,0.98,0.98,100.13,0,43.19,1.96,0,2.94,28.47,0,0,0,16.69,0,0,0,0,0,0.98,0.98,0,0
 84-94,0,2.12,0,2.12,1.06,1.06,1.06,0,0,2.12,200.73,0,0,1.06,0,1.06,343.04,1.06,28.68,1.06,1.06,1.06,21.24,0,0,0,22.3,0,0,0,0,0,1.06,0,0,0
 96-106,0,5.46,0,4.37,5.46,0,15.3,0,2.19,3.28,322.39,0,0,1.09,1.09,1.09,440.42,0,24.04,1.09,0,3.28,80.87,0,0,0,24.04,0,0,0,0,2.19,0,1.09,1.09,1.09
108-118,0,1.53,0,2.3,2.3,0.77,8.43,0.77,0.77,3.06,401.36,0,0.77,1.53,0,1.53,620.43,0,11.49,1.53,0,0,73.53,0,0,0,23.74,0,0,0,0,0.77,0.77,1.53,1.53,0
120,0,13.72,0,3.92,1.96,0,5.88,0,0,1.96,256.73,0,1.96,0,0,0,280.25,0,7.84,1.96,0,0,45.08,0,0,1.96,13.72,0,0,0,0,1.96,0,0,0,0
