stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,1,0,0,0,1,0,0,18,1,1,2,0,0,0,0,0
 24-34,0,0.82,35.3,0,0.82,0,0.82,0,0,0,1.64,2.46,0,0,0.82,0,0,37.76,0.82,0.82,0,0,0,20.52,0.82,0,0.82,0,0,0.82,57.46,0,0,3.28,0,0,0,0,0
 36-46,0,0.81,6.45,0,0,0,4.03,0,0,0,0.81,10.47,0,0,0,0,0,44.31,0.81,1.61,0,0,0.81,23.36,0,0,0.81,0,0,0.81,37.06,0,0,3.22,0,0,0.81,0,0
 48-58,0,0,1.72,0,0.57,0,8.03,0,0,0,2.87,21.23,0,0,0,0,0,52.79,0,1.72,0,0,0.57,28.12,0,0.57,0,0,0,0.57,18.94,0,0,2.87,0,0,0,0,0
 60-70,0,0.98,0,0,0,0,13.74,0.98,0.98,0,3.93,21.59,0,0.98,0,1.96,0,70.67,0,3.93,0.98,0,0,33.37,0,0,0.98,0,0,0,23.56,0,0,1.96,0,0,0,0,0
 72-82,0,0,1.96,7.85,2.94,26.5,23.56,0,0.98,0,4.91,34.36,0,0.98,0.98,0,0,159.03,0,11.78,0,0,0,65.77,0.98,0.98,0.98,0,0,5.89,33.38,0,0,3.93,0,0,4.91,0.98,0
 84-94,0,1.06,2.12,5.31,1.06,44.61,12.74,0,0,0,2.12,46.73,0,1.06,0,0,0,519.34,1.06,4.25,0,0,2.12,64.78,1.06,1.06,0,0,0,7.43,66.91,0,0,2.12,1.06,0,1.06,0,0
 96-106,0,1.09,2.19,20.76,15.3,16.39,50.27,1.09,1.09,3.28,17.49,33.88,2.19,3.28,4.37,0,2.19,794.5,0,36.06,1.09,3.28,5.46,201.08,0,3.28,2.19,0,1.09,28.41,74.31,1.09,0,0,4.37,0,9.84,1.09,1.09
108-118,0,0,0.77,10.72,7.66,12.26,34.47,0.77,2.3,0.77,19.92,9.96,0,5.36,0.77,0.77,2.3,1500.52,0.77,37.53,0,0.77,4.6,147.83,2.3,2.3,2.3,0,0.77,15.32,62.04,0,0,2.3,0.77,0.77,3.83,0.77,0.77
120,0,1.96,0,7.84,5.88,1.96,13.72,0,1.96,0,3.92,1.96,0,0,0,1.96,0,779.99,0,17.64,0,0,1.96,105.83,1.96,0,1.96,0,0,1.96,41.16,0,0,3.92,0,1.96,5.88,1.96,0
