stage,epidermis,eye,glial,mesenchyme,mural_cell,muscle,neural,olfactory,otic,presomitic_mesoderm,somites,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,1,0,0
 24-34,0,0,0,4.93,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,1.61,0,0.81,0.81,0,0,0,0,0.81,0.81
 48-58,0,0,0,1.15,0.57,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,3.93,0,0,0,0,1.96,0
 72-82,0,1.96,0,0.98,0.98,0,0.98,0.98,0,0,0,0,0
 84-94,1.06,0,0,1.06,0,0,3.19,0,0,0,0,0,0
 96-106,0,0,1.09,2.19,0,0,1.09,1.09,0,0,0,1.09,0
108-118,0,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,1.96,1.96,3.92,0,0,0,0,0,0,0,0,0
