stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,817.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0
  5-6,42.91,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,5.26,0,0,13.14,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,44.06,0,0,0,0,0,0,0,0,0,0,119.58,0,0,0,28.32,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,0,8,0,0,0,6,3,6,0,0,1,0,0,0,2,0,0,0,83,2,1,5,0,0,36,0,26,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,41.04,0,0,0,6.57,0,0.82,0,0,4.93,0,0.82,0.82,2.46,0,0,2.46,195.36,0,4.93,2.46,0,0,79.62,4.93,62.39,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0.81,0,81.37,0,0.81,0,16.92,0.81,0,0,0,1.61,0.81,1.61,0,3.22,0,0,0,135.35,0,8.86,1.61,0,0,86.21,2.42,46.73,0,0,0.81,0,0.81
 48-58,0,0,0,0,0,0.57,0,160.09,0,0,0.57,28.12,1.15,1.72,0,0,2.87,0,0.57,1.72,3.44,0,0,1.15,69.43,0.57,5.16,4.02,0,0,47.63,0,28.12,0,0,1.72,0,0.57
 60-70,0,0,0.98,0,0.98,0,0,204.16,0.98,1.96,0,64.78,3.93,0,0,0,1.96,0,0,1.96,4.91,0,0,0,47.11,0.98,2.94,8.83,0,0,44.17,0.98,9.82,0,0,1.96,0,0
 72-82,0,0,3.93,0,2.94,0.98,0,111.91,0,0,0,79.51,13.74,0.98,0.98,0,2.94,0,5.89,0.98,5.89,0,0.98,0,34.36,0,12.76,19.63,0,0.98,33.38,0,11.78,0.98,0,0.98,0,0
 84-94,0,0,1.06,1.06,8.5,1.06,0,100.89,1.06,1.06,0,38.23,36.11,0,1.06,1.06,7.43,0,2.12,0,7.43,1.06,0,1.06,32.92,0,9.56,13.81,0,0,133.82,4.25,3.19,1.06,1.06,0,0,1.06
 96-106,0,0,3.28,0,7.65,2.19,0,83.06,0,0,0,32.79,25.14,1.09,0,1.09,7.65,0,8.74,1.09,5.46,3.28,1.09,0,21.86,0,18.58,19.67,0,0,100.54,1.09,1.09,3.28,1.09,0,0,0
108-118,0,0,3.83,1.53,11.49,1.53,0.77,74.3,0,0.77,0,27.57,29.11,0,0,0,7.66,0,3.83,1.53,3.83,0.77,2.3,0,22.21,0.77,6.89,19.15,0,0,58.98,2.3,1.53,1.53,0,1.53,0.77,0
120,1.96,0,0,0,17.64,0,0,72.51,0,1.96,0,29.4,25.48,0,0,3.92,5.88,0,5.88,0,0,0,1.96,0,39.2,0,5.88,23.52,0,0,45.08,3.92,1.96,1.96,0,0,0,0
