stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,ionocyte,mesenchyme,mural.cell,muscle,neural,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,2,1
 24-34,0,0,0,0,0.82,0,0.82,0.82,0,3.28,1.64,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,5.64,0,1.61,0.81,0,0.81,0,0,0,0.81
 48-58,0,0,0,0,0,0.57,0,1.72,0,0,2.87,0,0,0,0,0,1.15
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,2.12,0,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,2.3,0,0.77,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
