stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0.82,0,0,0,0.82,0,0.82,0,0,0,0.82,0,0,0,0,27.09,0,0.82,0,0,0,0.82,0,0.82,2.46,5.75,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,1.61,0,0,0,2.42,0,0.81,0,0,0,0.81,0,0,1.61,0,0,0,78.96,0.81,0,0.81,0,0,0,0,0,0,14.5,0,0,0,0,0
 48-58,0,0,0,0,4.59,0,8.03,0.57,0.57,0,8.03,0,0,0,0,0.57,0,0,0,9.75,0,0,0,187.06,0.57,1.15,3.44,0,0,0,0,0,0,26.4,0,0,0.57,0,0
 60-70,0,0,0,0,2.94,0,29.45,0,0,0,53.98,0,0.98,0,0,0,2.94,0.98,0,38.28,0,0,0.98,481.93,0,1.96,8.83,0,0,0,0,0.98,0,42.21,0,0,0,0,0
 72-82,0,0,0.98,0,5.89,0.98,57.92,0,0,4.91,112.89,0,0.98,0,0,0,6.87,0.98,0,80.5,0,4.91,4.91,596.85,0,0.98,28.47,0,0.98,0.98,1.96,0.98,0,29.45,0.98,0.98,0.98,0.98,1.96
 84-94,0,0,0,0,7.43,0,52.04,0,0,1.06,80.71,0,1.06,1.06,1.06,2.12,4.25,0,0,52.04,0,2.12,2.12,330.29,1.06,2.12,21.24,0,1.06,0,3.19,0,0,16.99,0,1.06,1.06,0,0
 96-106,0,0,0,0,5.46,1.09,46.99,0,1.09,4.37,95.08,1.09,4.37,1.09,1.09,0,10.93,0,0,56.83,1.09,2.19,3.28,278.68,0,1.09,32.79,0,3.28,2.19,1.09,0,0,10.93,0,2.19,3.28,0,0
108-118,0,0,0,0,1.53,0.77,39.83,0,0.77,0.77,76.6,0,0,0.77,1.53,0,9.96,0,0,52.09,0,1.53,3.06,316.34,2.3,0.77,32.94,0,0.77,0,1.53,0,0,3.06,0,1.53,1.53,0,0.77
120,1.96,0,0,0,5.88,1.96,37.24,0,1.96,0,107.79,0,3.92,0,1.96,0,11.76,0,0,48.99,1.96,3.92,3.92,378.24,1.96,0,19.6,0,1.96,0,0,0,0,7.84,0,0,0,0,0
