stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.69,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,15.77,34.17,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,22.03,0,3.15,12.59,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,140,0,0,0,0
 24-34,0,1.64,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0.82,13.13,0.82,0,197.01,0,3.28,0,0
 36-46,0,0.81,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,0,0,1.61,10.47,0,0,122.46,0.81,1.61,0,0
 48-58,0,1.15,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.74,0,0,44.18,0,1.72,0,0
 60-70,0,0.98,0,0.98,1.96,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,47.11,0,2.94,0,0
 72-82,0,4.91,0,1.96,0,1.96,0.98,0,0,0,0.98,0,0.98,0,0,0.98,0.98,0,4.91,0,0,61.84,0,0,0,0
 84-94,0,9.56,0,0,2.12,2.12,0,0,0,0,2.12,0,0,0,0,0,2.12,0,1.06,0,0,177.36,0,0,1.06,0
 96-106,0,12.02,1.09,3.28,10.93,0,0,0,0,0,1.09,0,0,0,0,2.19,3.28,0,5.46,0,0,225.13,0,0,0,1.09
108-118,0,11.49,0,3.06,13.79,0,1.53,0,0.77,0.77,6.89,0.77,0,0.77,0.77,3.83,0.77,0,2.3,0.77,0,221.36,0,0,1.53,0
120,0,15.68,0,0,3.92,0,0,0,0,0,0,0,0,0,0,3.92,1.96,1.96,1.96,0,0,94.07,0,0,0,0
