stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,1,0,62,0,0,0,0,1
 24-34,0,0,0,1.64,0,8.21,0,0,0,11.49,0,0,0.82,0,0,0,0,0.82,0,0,0.82,309.46,0,4.1,1.64,0,0,0,0,5.75,0,136.26,0,0,2.46,0,8.21
 36-46,0,0,0,0.81,0,24.17,0,0.81,0,19.34,0,0.81,0,0,0,0,0.81,5.64,0,0,0.81,796.81,0,4.83,0,0,0,0,0.81,2.42,0,167.58,0,0,0,0,8.06
 48-58,0,0,0,2.87,0.57,108.45,0.57,0,0.57,56.81,0,1.15,0,0.57,0,0,1.15,9.18,0,0,1.15,1204.42,0,5.74,1.15,0,0,1.72,0,0,0,196.82,0,0,0.57,0,9.18
 60-70,0,0.98,0,2.94,0.98,311.14,0.98,0,0.98,99.13,0.98,2.94,0,1.96,0,0,0,30.43,0.98,1.96,1.96,1965.01,0,1.96,2.94,0,0,1.96,0,2.94,0,271.88,0,0.98,1.96,0.98,5.89
 72-82,0,0,0,8.83,0,384.81,0,0,1.96,125.65,2.94,5.89,0.98,0.98,0,0,0,32.39,0,1.96,0.98,1731.65,0.98,1.96,3.93,0,0.98,1.96,0,8.83,0,187.5,0.98,0,3.93,0,3.93
 84-94,0,0,0,14.87,3.19,253.83,0,0,2.12,78.59,0,10.62,4.25,2.12,0,1.06,0,23.36,0,2.12,7.43,877.24,1.06,1.06,5.31,0,0,3.19,0,13.81,0,97.71,0,2.12,1.06,1.06,4.25
 96-106,0,1.09,1.09,9.84,3.28,246.98,0,0,0,84.15,1.09,7.65,1.09,1.09,1.09,4.37,0,25.14,0,0,4.37,703.79,0,2.19,6.56,0,0,6.56,0,9.84,1.09,56.83,2.19,2.19,0,0,2.19
108-118,0,1.53,0,13.79,0.77,192.26,0.77,0.77,0.77,68.94,1.53,9.19,2.3,0,0,0,0,19.15,0,0,0.77,753.71,0,3.83,6.89,0,0,2.3,0,4.6,0,37.53,1.53,0.77,1.53,0.77,3.06
120,0,0,0,15.68,1.96,156.78,1.96,3.92,1.96,56.83,5.88,7.84,1.96,0,0,0,0,23.52,0,0,5.88,956.38,3.92,5.88,5.88,0,0,1.96,1.96,7.84,0,39.2,0,0,3.92,1.96,0
