stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,1,0,1,3,1,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0.82,1.64,0,0.82,3.28,0,0,0,0,0,0.82,0,0.82,2.46,0,0.82,0,0
 36-46,0,0,0,0,1.61,0.81,0,0,0,0,0,0,0,0,2.42,0,0,2.42,0,0,0,1.61,0,0,0,0,0,0,0.81,0,0
 48-58,0,1.15,0,0,0.57,0,0,0.57,1.15,0.57,0.57,0,0,0,1.15,0,0.57,5.74,0,0,0,0.57,0,0,0,0,1.15,0,1.72,0,0
 60-70,0,0,0,0,1.96,0,0,0,1.96,0,1.96,0,0,0,10.8,0,0.98,7.85,0,0,0,0.98,0,0,0,0,0.98,0,1.96,0,0
 72-82,0,0,1.96,0,4.91,0,0,0.98,0,0,0.98,0,0,0,12.76,0,2.94,5.89,0,0,0,0,0,0,0,0,0.98,0,3.93,0,0
 84-94,0,0,3.19,0,2.12,0,0,2.12,0,0,1.06,0,0,0,7.43,1.06,1.06,3.19,0,1.06,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,1.09,5.46,2.19,4.37,0,0,4.37,3.28,0,4.37,2.19,0,0,8.74,0,1.09,3.28,2.19,0,0,1.09,0,0,0,0,0,0,1.09,1.09,0
108-118,0,1.53,1.53,1.53,0.77,0,0.77,0,1.53,0,3.83,0.77,0.77,0,16.85,1.53,2.3,4.6,0.77,0,0,0,0,0,0,0,1.53,0,4.6,0.77,1.53
120,0,0,0,0,0,0,1.96,0,0,0,3.92,1.96,0,0,7.84,0,5.88,0,0,0,0,1.96,0,0,0,0,0,1.96,1.96,0,1.96
