stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,68.35,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10,0,0,1,0,0,2,0,0,0,0,2,0,0,3,105,1,0,2,0,1,0,3,4,37,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,8.21,0.82,1.64,5.75,0,0.82,0,0,12.31,0,0.82,1.64,557.36,0.82,0,0,0,1.64,0,0,0.82,119.84,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,5.64,0,0,19.34,0,0,0,0,22.56,0,0,8.06,1141.63,0.81,0.81,0,0,0.81,0,0,0,237.67,0,0,0,0,0
 48-58,0,0,0,2.87,0.57,0,35,1.15,0,45.33,0,0,0,0,27.54,0.57,0,1.15,1034,1.15,0,0,0,2.3,0,0,0,257.64,0,0,0,0,0
 60-70,0,0,0,2.94,0.98,0,51.04,0.98,0,40.24,0.98,0.98,0.98,0,32.39,0,0,0.98,893.18,0,0.98,0,0,0.98,0,0,0,228.69,0,0.98,0.98,0,1.96
 72-82,0,0,0,1.96,0.98,0,48.1,0,0.98,29.45,0,0,0.98,0,41.23,0,1.96,1.96,396.59,0,0,0.98,0,0.98,0.98,0,0,83.44,0.98,0,1.96,0.98,0
 84-94,0,0,0,1.06,0,0,58.41,0,1.06,18.05,0,0,2.12,0,16.99,0,2.12,1.06,216.66,0,0,0,0,1.06,0,0,0,50.98,0,0,2.12,1.06,0
 96-106,0,0,0,8.74,0,0,21.86,0,0,12.02,0,0,1.09,1.09,17.49,0,1.09,1.09,125.68,0,0,3.28,0,1.09,0,0,0,15.3,0,0,0,0,2.19
108-118,0,0,0,2.3,0,0.77,17.62,0,0,19.15,0,0,2.3,0,19.15,0,0,0.77,158.55,0,0,0,0,0.77,0,0,0,7.66,0,0,0,0,0
120,0,0,0,7.84,0,0,19.6,0,7.84,37.24,0,0,0,0,9.8,0,1.96,1.96,166.58,0,0,0,0,0,0,0,0,15.68,1.96,0,1.96,1.96,0
