stage,axial,blastomeres,epidermis,eye,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,5.26,0,0,49.95,2.63,26.29,0,0
 10-12,0,6.29,0,6.29,0,0,0,25.18,0,18.88,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,1.61,0,0,0,0.81
 48-58,0,0,0,0.57,0,0,0,1.15,0,0,0,0.57
 60-70,0,0,0,0,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0.77,0,0,0,0,0
