stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,12.59,0,3.15,0,0,0,0,15.73,0,9.44,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,0,2.46,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0.57
 72-82,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,1.09,1.09,0,0,2.19,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0
120,0,0,1.96,0,0,0,0,0,3.92,0,0,0,0,0
