stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,3,29,11,0,19,0,0,0,6,1,2,0,0,0,0,0,0,1,14,0,0,15,203,6,0,1,0,0,20,16,3,1,31,63,0,0,2,0,3
 24-34,0,0.82,3.28,72.24,10.67,0,98.5,0.82,9.85,0,16.42,0.82,0.82,4.1,2.46,8.21,0,1.64,1.64,2.46,97.68,3.28,0.82,58.28,708.4,11.49,4.93,11.49,0,0.82,95.22,1.64,3.28,8.21,32.01,169.92,0,0,41.04,0,6.57
 36-46,0,1.61,0,90.23,6.45,0,269.9,14.5,10.47,11.28,48.34,0,0,6.45,8.06,4.83,2.42,4.83,4.83,12.89,213.5,4.03,4.03,59.62,1102.96,20.95,14.5,9.67,0,0,144.21,0,5.64,11.28,1.61,274.73,0,0,30.62,0,17.72
 48-58,0,1.15,0,50.49,4.59,0,376.42,18.94,12.62,11.48,78.61,4.02,2.87,2.3,4.02,1.72,5.74,5.16,2.3,9.75,231.24,4.02,6.89,38.44,792.42,13.77,6.31,13.2,0,1.15,80.91,0,2.87,6.89,0,189.93,0,1.72,24.1,0.57,21.23
 60-70,0,0,0,98.15,10.8,0,941.28,27.48,27.48,25.52,168.82,19.63,3.93,9.82,8.83,13.74,20.61,9.82,7.85,7.85,558.49,12.76,20.61,73.61,1604.79,18.65,20.61,28.46,0.98,4.91,166.86,0,9.82,26.5,0,220.84,2.94,9.82,49.08,3.93,39.26
 72-82,0,7.85,0,92.28,70.68,11.78,695.02,21.6,31.41,25.52,162.96,51.05,1.96,7.85,19.63,18.65,13.74,15.71,10.8,4.91,609.61,15.71,29.45,58.9,1033.69,19.63,13.74,35.34,0,3.93,157.07,0,15.71,12.76,0,67.73,7.85,9.82,84.42,8.83,27.49
 84-94,0,6.37,0,213.47,37.17,41.42,519.34,42.48,50.98,18.05,175.24,79.65,4.25,8.5,48.85,36.11,26.55,9.56,15.93,16.99,437.56,11.68,22.3,43.54,619.17,33.99,19.12,41.42,0,3.19,434.37,0,54.16,44.61,0,63.72,15.93,16.99,71.16,31.86,12.74
 96-106,1.09,5.46,0,199.99,42.62,54.64,346.43,63.39,29.51,10.93,125.68,99.45,1.09,5.46,53.55,36.06,27.32,16.39,24.04,4.37,343.15,16.39,13.11,42.62,471.02,12.02,21.86,31.69,0,10.93,344.25,0,29.51,34.97,0,20.76,13.11,8.74,76.5,24.04,25.14
108-118,0,1.53,1.53,230.55,36.77,196.09,300.26,44.43,52.85,10.72,118.72,138.64,0,6.13,29.87,50.55,32.94,11.49,58.98,10.72,322.47,13.79,13.79,54.38,451.92,22.98,19.15,26.81,0,5.36,275.75,0,33.7,30.64,0,18.38,22.98,10.72,53.62,15.32,14.55
120,0,1.96,3.92,386.08,50.95,86.23,401.76,70.55,68.59,15.68,213.62,215.58,0,1.96,78.39,62.71,23.52,21.56,70.55,3.92,438.99,17.64,25.48,70.55,779.99,39.2,35.28,60.75,1.96,9.8,346.88,1.96,39.2,9.8,0,43.12,15.68,11.76,111.71,33.32,9.8
