stage,blastomeres,epidermis,eye,glial,mesenchyme,mural.cell,muscle,neural,periderm,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0
 14-21,0,2,0,0,1,0,1,10,0,1,4,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,9.03,0.82,0,0,0,0,0.82
 36-46,0,0,0,1.61,4.03,0.81,0,16.11,0,0,4.83,0,0,0
 48-58,0,0.57,0.57,0.57,5.74,0,0.57,14.35,0,0,4.59,0,0,0.57
 60-70,0,0,6.87,0,0.98,0,0,24.54,0,0,0,0,0,0
 72-82,0,0,7.85,1.96,5.89,0,0,28.47,0,0,0.98,0.98,0.98,0
 84-94,0,0,7.43,2.12,5.31,0,0,22.3,0,0,0,0,0,1.06
 96-106,0,0,3.28,1.09,1.09,0,0,17.49,0,0,0,0,0,0
108-118,0,0,4.6,1.53,0.77,0,0,20.68,0,0,0,0,0,0
120,0,0,1.96,1.96,1.96,0,0,19.6,0,0,0,0,0,0
