stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,35,2,1,0,0,0,1,2,2,0,0,0,0,0,0,6,0,0,3,14,3,0,2,0,0,0,4,1,9,0,0,1,0,0
 24-34,0,0,22.16,0,0.82,0,0,0,1.64,0,0.82,1.64,0,0,0,0,0,22.16,0,0.82,9.03,55,3.28,1.64,3.28,0,0.82,0.82,0,0,16.42,0,0,10.67,0,0
 36-46,0,0,6.45,0,1.61,0,0.81,0.81,0.81,0,0.81,0.81,0,0,1.61,0,0,34.64,0,1.61,4.83,45.92,0.81,0,0.81,0,0,0,0,0,13.7,0,0,5.64,0,0
 48-58,0,0,8.61,0,2.3,0,2.87,2.3,2.3,0,1.15,1.72,0,0,0.57,0.57,0.57,40.74,0,1.72,2.87,18.36,0,0,1.15,0,0.57,0,0.57,0,5.16,0,1.15,1.72,0,0.57
 60-70,0,0,9.82,0,2.94,0.98,3.93,1.96,1.96,0.98,2.94,0.98,0,1.96,0,0.98,0.98,70.67,0.98,3.93,2.94,8.83,0.98,0,1.96,0,0,0,0,0,2.94,0,0.98,0,0.98,0
 72-82,0,0,9.82,0,2.94,0,0.98,1.96,3.93,0.98,0.98,2.94,0,0.98,1.96,0,0,60.86,1.96,2.94,2.94,5.89,0,0.98,1.96,0,0.98,0,0,0,0.98,0,2.94,11.78,4.91,0
 84-94,0,0,14.87,0,4.25,0,2.12,3.19,1.06,1.06,1.06,6.37,1.06,5.31,0,1.06,0,44.61,0,5.31,4.25,5.31,1.06,1.06,8.5,0,1.06,0,1.06,0,0,0,5.31,15.93,4.25,0
 96-106,0,0,13.11,0,1.09,0,4.37,2.19,1.09,0,3.28,5.46,1.09,2.19,3.28,0,0,44.81,0,4.37,0,3.28,0,0,5.46,0,2.19,0,0,0,0,0,2.19,7.65,6.56,2.19
108-118,0,0,7.66,0,0.77,0,2.3,1.53,0.77,2.3,0,6.13,0,4.6,1.53,0,0.77,46.72,0,3.83,2.3,3.06,0,0,4.6,0,0.77,0,0,0,1.53,0.77,2.3,8.43,5.36,0
120,0,1.96,27.44,0,1.96,0,3.92,0,7.84,0,0,13.72,0,5.88,0,0,0,21.56,0,0,3.92,5.88,0,0,7.84,0,1.96,0,0,0,0,0,1.96,9.8,5.88,0
