stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature
 14-21,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,18,0,0,1,0,2,4,8,0,0
 24-34,0.82,1.64,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0,2.46,0,0.82,23.8,0,0,0,4.1,0,0.82,6.57,0,0
 36-46,0,0,0,0,5.64,0,0.81,1.61,0,0,0.81,0,0,0,0,0,0,1.61,34.64,0,0,0,0.81,0,0,10.47,0,0
 48-58,0,0,0,0,12.62,0,0,1.72,0,0,0,0,0,0,0,2.3,0,0,28.12,0,0,0,0.57,0,0,4.02,0,1.15
 60-70,0,1.96,0,0,8.83,0,0,0,0,0,0,0,0,0,0,4.91,0.98,0.98,16.69,0,0.98,0,0,0,0,1.96,0,0
 72-82,0,0.98,0,0,5.89,0,0.98,1.96,0.98,0,0,0,0,0,0,3.93,0,0,17.67,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,5.31,0,1.06,3.19,0,0,0,1.06,1.06,0,0,4.25,0,1.06,10.62,1.06,0,0,3.19,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,2.19,2.19,0,0,0,0,0,0,1.09,3.28,0,1.09,6.56,0,0,0,2.19,0,0,0,0,0
108-118,0,0.77,0,0.77,3.83,0.77,0,0,0,0,0,0,0,0.77,0,3.06,0,0,6.13,0,0,0,2.3,0,0,0,0.77,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0
