stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,342.63,3426.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0,0,0,0
  5-6,269.7,3205.8,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,24.52,0,0,0,24.52,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,15.77,0,23.66,0,0,47.32,0,0,0,0,5.26,0,0,0,0,0,0,0,0,428.48,15.77,0,0,147.21,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,22.03,0,3.15,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,239.17,6.29,0,0,91.26,0,3.15,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,14,7,7,0,0,2,0,0,0,0,1,0,0,0,12,5,104,2,0,0,13,0,0,16,1,0,8,34,0,0,2,0,0
 24-34,0,0,0,0,2.46,0,4.1,0,0,0.82,0.82,0,0,0,0,0.82,0,0.82,3.28,3.28,52.53,0.82,0,0,0,0,0,0,0,0,1.64,10.67,0,0,0,0,0
 36-46,0,0,0,0,4.03,0,7.25,0,0,4.03,0,0,0,0,0,0,0,0,5.64,0.81,42.7,0,0.81,0,0,0.81,0,0,0,0,0,7.25,0,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,17.21,0,0,4.02,0,0,0,0,0,0,0,0.57,7.46,1.72,44.76,0.57,0,1.15,0,0,0,0,0,0,0,13.2,0,0,1.15,0,0
 60-70,0,0,0,0,1.96,0.98,9.82,0,0,5.89,0,0,1.96,0.98,0,0,0,0,17.67,0,45.15,0,0,0,0,0.98,0,0,0,0,0,7.85,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,9.82,0,0,12.76,0,0,0,0,0,0,0.98,0,16.69,1.96,53.99,0,0,1.96,0,0,0,0,0,0,0,10.8,0,0,0.98,0,0.98
 84-94,0,0,1.06,0,3.19,0,13.81,1.06,2.12,5.31,0,0,1.06,0,0,1.06,0,1.06,12.74,2.12,27.61,2.12,0,1.06,0,0,0,0,0,0,0,2.12,1.06,1.06,4.25,1.06,0
 96-106,0,0,0,0,1.09,1.09,6.56,0,1.09,5.46,1.09,0,0,1.09,0,0,0,0,14.21,4.37,16.39,1.09,1.09,2.19,0,5.46,0,0,0,0,0,1.09,0,0,2.19,0,0
108-118,0,0,0,0,2.3,0.77,9.96,0.77,1.53,8.43,0,0,0,0,0,0.77,0,0.77,16.09,1.53,14.55,0,0.77,0,0,0.77,0,0,0,0.77,0,0,0,0.77,0.77,0,0
120,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,0,1.96,0,23.52,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0
