stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,6.29,0,3.15,6.29,0,0,0,0,0,0
 14-21,0,0,0,70,0,0,0,0,5,9,0,0,0,0,0,3,0,1,0,0,0,0,5,0,0,31,0
 24-34,0,0,0.82,5.75,0,0,0,0,0.82,21.34,0,0,0,0.82,0,9.03,0.82,0,0,0,0,0.82,19.7,0,0,98.5,0.82
 36-46,0,0,0,0,2.42,0,0,0,0.81,19.34,0,0,0,0,0,5.64,0,0,0,0,0,0,27.39,0,0,19.34,0
 48-58,0,0,0.57,0.57,2.3,0,1.72,0,3.44,18.36,0,0,0,1.15,0,12.62,0,0,0.57,0,0,0,12.05,0,0,21.23,0
 60-70,0,0,0,0.98,3.93,0,0,0,2.94,25.52,0.98,0,0,0.98,0,7.85,0,0,0,0,0,0,9.82,0,0,42.21,0
 72-82,0,0,0.98,7.85,3.93,0.98,0,0,7.85,62.83,0,0,0,0.98,0.98,9.82,0,0,0,0,0,0,11.78,0,0.98,61.84,0
 84-94,0,0,0,7.43,5.31,0,1.06,1.06,5.31,89.21,0,0,0,2.12,0,7.43,0,0,1.06,0,0,0,4.25,1.06,1.06,72.22,0
 96-106,0,0,1.09,16.39,2.19,0,0,1.09,6.56,96.17,0,1.09,1.09,6.56,0,4.37,0,0,0,0,0,0,6.56,0,0,90.71,0
108-118,0,0.77,0.77,22.21,3.06,0,1.53,0,3.06,86.55,0,0,0,3.06,0,6.13,0,0,0.77,0,0,0,1.53,0,0,85.79,0
120,0,0,3.92,31.36,1.96,0,0,0,3.92,80.35,0,0,0,3.92,0,9.8,0,0,1.96,0,0,0,3.92,0,0,62.71,0
