stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,459.72,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,2.63,0,0,26.29,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,118.29,2.63,0,0,39.43,0,107.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,25.18,0,6.29,6.29,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,210.85,6.29,0,0,66.09,0,62.94,3.15,3.15,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,19,1,2,0,1,0,0,2,6,1,0,9,0,0,0,0,2,8,0,2,20,1,3,0,1,0,898,0,9,0,23,23,6,0,2,0,0
 24-34,0,0,0,1.64,28.73,0,8.21,0,8.21,0.82,0,4.1,0.82,0.82,0,32.01,0.82,0.82,0.82,0,10.67,50.89,0,4.1,104.25,2.46,14.78,2.46,0,0,1550.6,0,0.82,0,7.39,4.93,9.03,0,2.46,0,0
 36-46,0,0,0,0,16.11,0,7.25,0,9.67,4.03,2.42,0.81,0,2.42,0,13.7,0,0,0,2.42,16.11,50.76,0,4.03,123.27,0,11.28,3.22,0,0,1525.13,0,0,0.81,0.81,0,8.86,0,1.61,0,0
 48-58,0,0,0,0,22.95,0,18.94,1.15,18.36,4.59,3.44,1.15,0,0.57,0.57,8.03,0,0,0.57,0,21.8,27.54,0,1.15,75.17,0,7.46,2.3,0,0,1051.78,0,0,0,0,0,9.18,0,0,0,0.57
 60-70,0.98,0,0,0,14.72,0,12.76,0,13.74,0.98,0.98,0,0.98,0,0.98,9.82,1.96,0,0,0,28.46,21.59,0,2.94,35.33,0,10.8,0,0,0,770.49,0,0,0,0,0,3.93,1.96,0.98,0,0
 72-82,0,0,0,0,33.38,0,9.82,0,10.8,5.89,1.96,0,0,0,0,6.87,0,0,0,0,42.21,16.69,0,0.98,29.45,0,14.72,0.98,0,0,557.58,0,0,0,0,0,3.93,8.83,0.98,1.96,0
 84-94,0,0,0,0,40.36,3.19,10.62,0,44.61,3.19,3.19,2.12,0,0,0,27.61,0,1.06,0,0,24.43,29.74,1.06,1.06,31.86,0,33.99,1.06,0,0,1378.52,0,0,0,0,0,1.06,41.42,0,0,0
 96-106,0,0,0,0,52.46,1.09,8.74,0,32.79,2.19,1.09,17.49,0,0,1.09,20.76,0,0,2.19,0,39.34,19.67,1.09,2.19,33.88,0,50.27,2.19,0,1.09,967.17,0,0,0,0,0,1.09,123.49,3.28,0,0
108-118,0,0,1.53,0,52.85,0,9.96,0,48.26,1.53,0,7.66,0,0,0.77,22.98,0,0,0.77,0,26.04,19.15,0.77,3.83,26.81,0,27.57,0,0,0,674.05,0,0,0,1.53,0,0.77,85.79,1.53,0.77,0.77
120,0,0,0,0,23.52,0,3.92,1.96,37.24,1.96,1.96,5.88,0,0,0,7.84,0,0,0,0,29.4,9.8,0,0,25.48,0,11.76,3.92,0,1.96,429.19,0,0,0,1.96,0,1.96,23.52,0,3.92,0
