stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,1,0,0,0,0,33,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,10.67,0,0,0,0.82,0,0.82,0,0,0,0.82,0.82,0,6.57,0,0,1.64,842.2,0,9.85,0.82,0,0,1.64,0,126.41,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,0,33.03,0,0,0,4.03,0,0.81,0.81,0,0,0,0,0.81,7.25,0.81,0.81,0.81,1671.76,1.61,6.45,0.81,0,0,2.42,0,234.45,0,0,0,0,1.61
 48-58,0,0,0,0,0.57,0,0,111.89,0,1.72,0.57,21.23,0,0,0,0,0.57,0.57,0.57,0.57,24.67,0,1.72,3.44,1898.72,0,4.59,0.57,0,0,6.31,0.57,260.51,0,0,1.72,0,2.87
 60-70,0,0,0.98,0,1.96,0.98,0,104.04,0.98,0.98,0.98,8.83,2.94,0,0,0,0.98,0.98,0.98,0,17.67,0,0,1.96,1625.4,0,1.96,0.98,0,0,3.93,0.98,230.66,0,0,0,0.98,0
 72-82,0,0,0,0,8.83,6.87,0,163.94,0,0,0.98,30.43,1.96,0,2.94,0,1.96,0,1.96,0,39.27,0,0.98,3.93,1399.85,0.98,5.89,3.93,0,0.98,3.93,0,152.16,0.98,0,1.96,0.98,2.94
 84-94,0,0,1.06,0,11.68,4.25,0,120.01,0,0,0,31.86,0,0,2.12,0,2.12,1.06,0,0,19.12,0,2.12,2.12,725.37,0,4.25,0,0,0,2.12,0,67.97,0,1.06,1.06,1.06,2.12
 96-106,0,0,0,0,7.65,4.37,0,102.73,0,1.09,1.09,20.76,1.09,1.09,2.19,0,0,2.19,0,0,25.14,1.09,2.19,0,570.47,1.09,1.09,0,0,0,5.46,1.09,29.51,0,0,3.28,0,0
108-118,0,0,0,0,6.13,2.3,0.77,57.45,0,0,0,19.15,0.77,0.77,0.77,0.77,0,0.77,1.53,0.77,16.09,0.77,0.77,0.77,827.24,1.53,0.77,1.53,0,0,6.13,0,34.47,0.77,0.77,2.3,1.53,0.77
120,1.96,0,0,0,7.84,9.8,1.96,48.99,1.96,0,0,15.68,5.88,0,1.96,0,0,0,0,0,19.6,0,0,3.92,936.78,0,1.96,0,0,0,1.96,0,25.48,0,0,3.92,0,0
