stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,23.66,0,0,0,2.63,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,44.06,0,0,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,6.57,0,0,0,0,0,0,7.39,2.46,0,2.46,0.82,0,4.1,5.75,0,5.75,0.82,0.82,1.64,0,4.1,0,0,1.64,0,0,0
 36-46,0,0,1.61,2.42,0,0.81,0,0,0,2.42,0,0.81,0,0.81,0,2.42,1.61,0.81,11.28,0,0,0,0,3.22,0,0,0.81,0,0,0
 48-58,0,0,0.57,3.44,0,0.57,0,1.15,0,1.15,0,0,1.72,0,0,3.44,2.3,1.15,11.48,0,0,1.15,0,1.72,0,0,1.72,0,0,0
 60-70,0,0,0,3.93,0.98,1.96,0,0,0,0.98,0,0,0,0.98,0,2.94,2.94,1.96,5.89,0,0,0.98,0,2.94,0,0,1.96,0,0.98,0
 72-82,0,0,0.98,6.87,0,0,0,0.98,0,1.96,0,1.96,0,0.98,0.98,0.98,10.8,0,1.96,0,0,0.98,0,0.98,0,0.98,0,1.96,0,0
 84-94,0,0,8.5,1.06,1.06,5.31,0,1.06,1.06,1.06,0,5.31,0,1.06,0,1.06,9.56,1.06,3.19,0,0,1.06,0,5.31,0,0,0,2.12,0,0
 96-106,0,0,4.37,1.09,0,3.28,0,0,0,1.09,0,5.46,0,0,1.09,1.09,5.46,2.19,4.37,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,6.13,0,0.77,3.06,2.3,0,2.3,0,0,6.13,1.53,0.77,0.77,0.77,0.77,0.77,3.83,0,0,0,0,4.6,0,0,0,0.77,0,0.77
120,0,0,11.76,1.96,0,5.88,0,0,0,0,0,1.96,1.96,0,0,5.88,1.96,1.96,3.92,0,1.96,1.96,0,3.92,0,0,0,1.96,0,0
