stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,10.51,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,31.47,0,0,6.29,0,0,0,3.15,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,1,0,2,0,0,0
 24-34,0,1.64,0,0,1.64,0,0,0.82,0,0,0.82,0,0,1.64,1.64,11.49,0,0,0,1.64,0,0,0,0.82,2.46,0,0
 36-46,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,15.31,0,0,0,1.61,0,0,0,0,1.61,0,1.61
 48-58,0,0,0,0,2.3,0,0,0.57,0,0,0,0,0,1.15,0.57,6.89,0,0,0,1.72,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,5.89,0,0,0.98,0,0,0,0,0,1.96,0,11.78,0,0,0,0.98,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0,2.94,0.98,7.85,0,0.98,0,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,1.06,1.06,0,0,0,0,2.12,0,1.06,0,0,0,5.31,0,0,0,0,1.06,0,0
 96-106,0,0,1.09,0,3.28,0,0,2.19,0,0,0,1.09,1.09,3.28,1.09,1.09,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0.77,0,0.77,0.77,0,0,1.53,0,0.77,0,0,0,1.53,0.77,3.83,0.77,0,0,2.3,0,0,0,0,0,0.77,0
120,0,3.92,0,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0,0,0
