stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0
 24-34,0,0.82,0,58.28,0,0,0,0,0,0.82,0,0,1.64,13.95,0.82,0,0,1.64,0,0,4.1,0.82,0,0
 36-46,0,0,0,64.45,0,0.81,0,0,0,2.42,0.81,0,0.81,12.09,0,0,0,1.61,0.81,0,2.42,0,0,0
 48-58,0,0,0,47.63,2.3,0,0,0,0.57,1.15,0,0,0.57,9.18,0,0,0,1.15,0,0,3.44,0,0,0
 60-70,0,1.96,0,56.93,0,0,0,0,0,2.94,0,0,0,5.89,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0.98,56.94,0.98,0,0,5.89,0,2.94,0,0,0,11.78,0,0,0,0,0,0,0.98,0.98,0.98,0
 84-94,0,1.06,0,54.16,1.06,0,0,0,0,1.06,0,0,0,9.56,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,32.79,1.09,0,0,4.37,0,2.19,0,0,0,4.37,0,1.09,0,1.09,0,0,0,0,0,1.09
108-118,0,0.77,0,43.66,0,0.77,0.77,0.77,0,3.83,0,0.77,0,12.26,0,0,0,0,0,0,0,0,0,0
120,0,0,0,27.44,0,0,1.96,0,0,0,0,1.96,0,7.84,0,0,0,0,0,0,1.96,0,0,0
