stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,42.91,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,18.4,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,53.5,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,9,1,2,0,0,0,2,11,0,0,16,0
 24-34,0,0,0,0.82,0,0,0,6.57,0,0,26.27,0,0,1.64,1.64,3.28,0,0.82,31.19,1.64,0.82,0,0,5.75,0,4.1,0,0.82,49.25,0
 36-46,0,0,0,0,0,0,0,7.25,0,0,4.83,0,0,0.81,0,0.81,0,2.42,9.67,1.61,0,0,0,3.22,0,0.81,0,0,12.89,0
 48-58,0,0,0,0,0.57,1.72,0,16.07,0,0,0.57,0,0,0,0,1.15,0.57,0,10.33,0,0,0,0,1.72,0,0,0,0,7.46,0
 60-70,0,0,0,0,1.96,0,0,33.37,0,0,0,0,0,0.98,0,3.93,0.98,0,20.61,0,0,0,0,0.98,0,0,0,0,1.96,0
 72-82,0,0,0,0,0,0,0,30.43,0,0,0.98,0,0,0,0,3.93,0,1.96,22.58,0.98,0.98,0,0.98,0,0,0,0,0,2.94,0
 84-94,0,0,0,0,4.25,0,0,14.87,0,1.06,0,0,0,2.12,1.06,1.06,0,2.12,16.99,6.37,0,0,0,0,0,1.06,0,0,4.25,0
 96-106,0,0,1.09,0,1.09,0,0,5.46,0,0,3.28,0,0,0,0,1.09,1.09,0,9.84,2.19,1.09,0,0,0,0,0,0,0,3.28,0
108-118,0,0,0,0,3.83,1.53,0.77,13.79,0.77,0,0.77,3.06,0,3.06,0,4.6,0,0.77,22.21,2.3,0,0,0,0.77,0,0,0.77,0,2.3,1.53
120,0,0,0,0,5.88,1.96,0,7.84,0,0,0,1.96,0,3.92,0,5.88,0,1.96,29.4,0,0,0,0,0,0,0,0,0,1.96,0
